    Forme   Couleur   Age     Sexe
245 J   J   Enfant    M
246 K   B   Enfant    M
247 D   K   Enfant    M
248 J   H   Enfant    M
249 K   H   Enfant    M
250 I   G   Enfant    M
251 D   K   Enfant    M
252 D   A   Enfant    M
253 E   H   Enfant    M
254 D   G   Enfant    M
255 A   K   Enfant    M
256 C   A   Enfant    M
257 C   H   Enfant    M
258 J   H   Enfant    M
259 J   I   Enfant    M
260 I   J   Enfant    M
261 G   J   Enfant    M
262 G   I   Enfant    M
263 G   I   Enfant    M
264 I   A   Enfant    M
265 C   C   Enfant    M
266 F   H   Enfant    M
267 B   G   Enfant    M
268 I   G   Enfant    M
269 D   B   Enfant    M
270 I   D   Enfant    M
271 C   C   Enfant    M
272 F   F   Enfant    M
273 J   I   Enfant    M
274 D   D   Enfant    M
275 G   G   Enfant    M
276 H   G   Enfant    M
277 J   I   Enfant    M
278 C   C   Enfant    M
279 C   C   Enfant    M
280 E   H   Enfant    M
281 B   D   Enfant    M
282 C   D   Enfant    M
283 A   A   Enfant    M
284 J   C   Enfant    M
285 K   C   Enfant    M
286 I   D   Enfant    M
287 A   K   Enfant    M
288 K   I   Enfant    M
289 I   C   Enfant    M
290 E   E   Enfant    M
291 K   C   Enfant    M
292 B   H   Enfant    M
293 B   B   Enfant    M
294 C   D   Enfant    M
295 K   E   Enfant    M
296 D   C   Enfant    M
297 C   C   Enfant    M
298 G   J   Enfant    M
299 G   D   Enfant    M
300 G   D   Enfant    M
301 H   I   Enfant    M
302 H   H   Enfant    M
303 I   I   Enfant    M
304 J   J   Enfant    M
305 K   I   Enfant    M
306 K   G   Enfant    M
307 K   K   Enfant    M
308 C   C   Enfant    M
309 D   B   Enfant    M
310 H   I   Enfant    M
311 J   J   Enfant    M
312 G   G   Enfant    M
313 B   B   Enfant    M
314 B   J   Enfant    M
315 B   I   Enfant    M
316 B   B   Enfant    M
317 B   B   Enfant    M
318 C   A   Enfant    M
319 A   B   Enfant    M
320 B   A   Enfant    M
321 D   D   Enfant    M
322 J   J   Enfant    M
323 J   H   Enfant    M
324 J   J   Enfant    M
325 H   I   Enfant    M
326 H   I   Enfant    M
327 C   H   Enfant    M
328 C   C   Enfant    M
329 H   K   Enfant    M
330 D   J   Enfant    M
331 B   C   Enfant    M
332 A   D   Enfant    M
333 B   D   Enfant    M
334 B   B   Enfant    M
335 C   B   Enfant    M
336 D   D   Enfant    M
337 H   D   Enfant    M
338 D   J   Enfant    M
339 I   F   Enfant    M
340 D   J   Enfant    M
341 K   K   Enfant    M
342 I   H   Enfant    M
343 K   H   Enfant    M
344 A   B   Enfant    M
345 B   C   Enfant    M
346 C   D   Enfant    M
347 D   E   Enfant    M
348 F   F   Enfant    M
349 B   B   Enfant    M
350 D   B   Enfant    M
351 B   D   Enfant    M
352 C   C   Enfant    M
353 C   A   Enfant    M
354 A   A   Enfant    M
355 E   F   Enfant    M
356 G   A   Enfant    M
357 G   G   Enfant    M
358 G   H   Enfant    M
359 H   H   Enfant    M
360 J   G   Enfant    M
361 G   E   Enfant    M
362 E   J   Enfant    M
363 J   A   Enfant    M
364 A   C   Enfant    M
365 C   G   Enfant    M
366 G   D   Enfant    M
367 D   A   Enfant    M
368 A   A   Enfant    M
369 B   B   Enfant    M
370 B   D   Enfant    M
371 D   D   Enfant    M
372 A   A   Enfant    M
373 J   J   Enfant    M
374 G   H   Enfant    M
375 G   D   Enfant    M
376 D   G   Enfant    M
377 G   A   Enfant    M
378 B   B   Enfant    M
379 C   C   Enfant    M
380 A   A   Enfant    M
381 B   D   Enfant    M
382 C   C   Enfant    M
383 A   B   Enfant    M
384 B   C   Enfant    M
385 J   A   Enfant    M
386 I   C   Enfant    M
387 K   I   Enfant    M
388 J   J   Enfant    M
389 I   J   Enfant    M
390 B   H   Enfant    M
391 D   B   Enfant    M
392 C   D   Enfant    M
393 A   C   Enfant    M
394 I   D   Enfant    M
395 J   J   Enfant    M
396 I   I   Enfant    M
397 F   I   Enfant    M
398 F   F   Enfant    M
399 E   A   Enfant    M
400 D   F   Enfant    M
401 A   D   Enfant    M
402 D   A   Enfant    M
403 B   D   Enfant    M
404 J   D   Enfant    M
405 K   B   Enfant    M
406 B   K   Enfant    M
407 C   A   Enfant    M
408 D   A   Enfant    M
409 B   B   Ado   F
410 D   D   Ado   F
411 B   B   Ado   F
412 D   J   Ado   F
413 J   J   Ado   F
414 G   G   Ado   F
415 B   C   Ado   F
416 G   J   Ado   F
417 G   J   Ado   F
418 E   E   Ado   F
419 E   E   Ado   F
420 C   H   Ado   F
421 C   H   Ado   F
422 I   E   Ado   F
423 C   C   Ado   F
424 C   H   Ado   F
425 A   G   Ado   F
426 B   C   Ado   F
427 H   H   Ado   F
428 D   K   Ado   F
429 D   D   Ado   F
430 G   J   Ado   F
431 H   G   Ado   F
432 J   B   Ado   F
433 I   A   Ado   F
434 C   C   Ado   F
435 B   B   Ado   F
436 D   K   Ado   F
437 F   D   Ado   F
438 D   D   Ado   F
439 J   J   Ado   F
440 B   B   Ado   F
441 J   J   Ado   F
442 J   J   Ado   F
443 C   D   Ado   F
444 C   H   Ado   F
445 J   J   Ado   F
446 B   B   Ado   F
447 I   G   Ado   F
448 A   A   Ado   F
449 B   B   Ado   F
450 E   E   Ado   F
451 D   D   Ado   F
452 E   E   Ado   F
453 C   H   Ado   F
454 E   E   Ado   F
455 A   A   Ado   F
456 I   I   Ado   F
457 D   D   Ado   F
458 K   J   Ado   F
459 B   B   Ado   F
460 I   G   Ado   F
461 A   A   Ado   F
462 D   B   Ado   F
463 E   E   Ado   F
464 D   D   Ado   F
465 G   E   Ado   F
466 C   H   Ado   F
467 E   E   Ado   F
468 A   A   Ado   F
469 I   I   Ado   F
470 D   D   Ado   F
471 A   J   Ado   F
472 J   J   Ado   F
473 D   D   Ado   F
474 A   A   Ado   F
475 I   I   Ado   F
476 G   G   Ado   F
477 D   G   Ado   F
478 J   H   Ado   F
479 I   I   Ado   F
480 I   I   Ado   F
481 J   I   Ado   F
482 A   J   Ado   F
483 G   J   Ado   F
484 F   G   Ado   F
485 J   J   Ado   F
486 D   J   Ado   F
487 K   D   Ado   F
488 A   B   Ado   F
489 D   D   Ado   F
490 D   D   Ado   F
491 B   B   Ado   F
492 H   B   Ado   F
493 H   D   Ado   F
494 G   D   Ado   F
495 G   H   Ado   F
496 H   D   Ado   F
497 E   D   Ado   F
498 A   E   Ado   F
499 E   E   Ado   F
500 C   C   Ado   F
501 B   J   Ado   F
502 B   B   Ado   F
503 D   B   Ado   F
504 B   B   Ado   F
505 D   A   Ado   F
506 A   B   Ado   F
507 J   J   Ado   F
508 H   H   Ado   F
509 B   B   Ado   F
510 A   D   Ado   F
511 C   D   Ado   F
512 G   J   Ado   F
513 H   A   Ado   F
514 G   J   Ado   F
515 H   I   Ado   F
516 C   C   Ado   F
517 K   C   Ado   F
518 J   E   Ado   F
519 E   E   Ado   F
520 E   D   Ado   F
521 E   E   Ado   F
522 B   D   Ado   F
523 C   C   Ado   F
524 J   E   Ado   F
525 K   A   Ado   F
526 B   F   Ado   F
527 F   G   Ado   F
528 H   I   Ado   F
529 J   H   Ado   F
530 I   D   Ado   F
531 G   G   Ado   F
532 H   B   Ado   F
533 F   A   Ado   F
534 B   D   Ado   F
535 D   D   Ado   F
536 F   F   Ado   F
537 K   G   Ado   F
538 J   I   Ado   F
539 H   K   Ado   F
540 D   E   Ado   F
541 C   B   Ado   F
542 B   C   Ado   F
543 A   I   Ado   F
544 D   E   Ado   F
545 H   F   Ado   F
546 H   G   Ado   F
547 G   H   Ado   F
548 G   H   Ado   F
549 K   C   Ado   F
550 G   D   Ado   F
551 H   E   Ado   F
552 D   I   Ado   F
553 I   J   Ado   F
554 J   K   Ado   F
555 J   H   Ado   F
556 A   G   Ado   F
557 B   J   Ado   F
558 K   F   Ado   F
559 D   K   Ado   F
560 B   C   Ado   F
561 D   E   Ado   F
562 B   B   Ado   F
563 C   H   Ado   F
564 H   J   Ado   F
565 G   D   Ado   F
566 D   F   Ado   F
567 F   D   Ado   F
568 D   B   Ado   F
569 B   B   Ado   F
570 C   C   Ado   F
571 B   B   Ado   F
572 B   A   Ado   F
573 A   B   Ado   F
574 B   D   Ado   F
575 B   B   Ado   F
576 I   J   Ado   F
577 I   I   Ado   F
578 H   D   Ado   F
579 B   B   Ado   F
580 J   I   Ado   F
581 D   F   Ado   F
582 G   B   Ado   F
583 D   A   Ado   F
584 B   J   Ado   F
585 C   C   Ado   F
586 A   H   Ado   F
587 K   I   Ado   F
588 I   K   Ado   F
589 B   K   Ado   F
590 D   K   Ado   F
591 C   E   Ado   F
592 G   D   Ado   F
593 D   A   Ado   F
594 F   A   Ado   F
595 B   B   Ado   F
596 A   B   Ado   F
597 G   F   Ado   F
598 K   K   Ado   F
599 H   I   Ado   F
600 I   J   Ado   F
601 J   A   Ado   F
602 A   B   Ado   F
603 B   C   Ado   F
604 G   D   Ado   F
605 D   E   Ado   F
606 E   F   Ado   F
607 J   H   Ado   F
608 H   E   Ado   F
609 G   A   Ado   F
610 A   I   Ado   F
611 I   I   Ado   F
612 E   E   Ado   F
613 B   B   Ado   F
614 D   B   Ado   F
615 B   D   Ado   F
616 D   B   Ado   F
617 I   B   Ado   F
618 B   J   Ado   F
619 J   A   Ado   F
620 A   E   Ado   F
621 B   B   Ado   F
622 B   D   Ado   F
623 G   E   Ado   F
624 D   H   Ado   F
625 I   I   Ado   F
626 H   I   Ado   F
627 J   I   Ado   F
628 B   D   Ado   F
629 A   B   Ado   F
630 G   G   Ado   F
631 G   J   Ado   F
632 I   A   Ado   F
633 C   D   Ado   F
634 H   I   Ado   F
635 I   B   Ado   F
636 B   B   Ado   F
637 J   J   Ado   F
638 J   I   Ado   F
639 I   I   Ado   F
640 E   E   Ado   M
641 B   C   Ado   M
642 I   I   Ado   M
643 B   B   Ado   M
644 B   B   Ado   M
645 B   B   Ado   M
646 E   H   Ado   M
647 E   H   Ado   M
648 D   D   Ado   M
649 D   C   Ado   M
650 J   J   Ado   M
651 J   B   Ado   M
652 F   J   Ado   M
653 F   F   Ado   M
654 G   H   Ado   M
655 D   B   Ado   M
656 C   D   Ado   M
657 F   E   Ado   M
658 K   D   Ado   M
659 J   H   Ado   M
660 F   B   Ado   M
661 E   C   Ado   M
662 J   J   Ado   M
663 B   B   Ado   M
664 H   H   Ado   M
665 B   A   Ado   M
666 A   C   Ado   M
667 K   A   Ado   M
668 H   H   Ado   M
669 H   D   Ado   M
670 H   E   Ado   M
671 G   J   Ado   M
672 C   E   Ado   M
673 H   C   Ado   M
674 J   I   Ado   M
675 K   J   Ado   M
676 A   A   Ado   M
677 B   B   Ado   M
678 I   D   Ado   M
679 J   I   Ado   M
680 J   J   Ado   M
681 H   K   Ado   M
682 B   H   Ado   M
683 G   D   Ado   M
684 C   D   Ado   M
685 E   A   Ado   M
686 A   C   Ado   M
687 B   H   Ado   M
688 J   A   Ado   M
689 C   K   Ado   M
690 K   H   Ado   M
691 H   D   Ado   M
692 E   E   Ado   M
693 B   B   Ado   M
694 A   B   Ado   M
695 A   D   Ado   M
696 B   B   Ado   M
697 A   I   Ado   M
698 D   A   Ado   M
699 G   B   Ado   M
700 E   B   Ado   M
701 D   D   Ado   M
702 F   F   Ado   M
703 I   E   Ado   M
704 D   D   Ado   M
705 A   B   Ado   M
706 C   C   Ado   M
707 C   G   Ado   M
708 D   J   Ado   M
709 J   H   Ado   M
710 C   B   Ado   M
711 G   F   Ado   M
712 I   J   Ado   M
713 F   J   Ado   M
714 A   A   Ado   M
715 E   C   Ado   M
716 C   D   Ado   M
717 F   D   Ado   M
718 I   F   Ado   M
719 F   A   Ado   M
720 K   B   Ado   M
721 I   G   Ado   M
722 A   J   Ado   M
723 C   B   Ado   M
724 D   B   Ado   M
725 B   H   Ado   M
726 F   I   Ado   M
727 G   J   Ado   M
728 H   E   Ado   M
729 J   D   Ado   M
730 I   D   Ado   M
731 G   B   Ado   M
732 K   A   Ado   M
733 J   J   Ado   M
734 B   B   Ado   M
735 B   D   Ado   M
736 D   D   Ado   M
737 D   B   Ado   M
738 B   C   Ado   M
739 C   H   Ado   M
740 H   J   Ado   M
741 J   K   Ado   M
742 K   A   Ado   M
743 A   B   Ado   M
744 B   C   Ado   M
745 C   B   Ado   M
746 B   E   Ado   M
747 D   B   Ado   M
748 B   D   Ado   M
749 D   B   Ado   M
750 E   I   Ado   M
751 B   I   Ado   M
752 H   B   Ado   M
753 B   C   Ado   M
754 D   C   Ado   M
755 D   D   Ado   M
756 D   B   Ado   M
757 D   C   Ado   M
758 B   D   Ado   M
759 D   B   Ado   M
760 D   H   Ado   M
761 C   J   Ado   M
762 H   J   Ado   M
763 K   J   Ado   M
764 B   B   Ado   M
765 B   A   Ado   M
766 B   D   Ado   M
767 D   D   Ado   M
768 A   B   Ado   M
769 B   E   Ado   M
770 D   E   Ado   M
771 F   F   Ado   M
772 J   K   Ado   M
773 K   A   Ado   M
774 A   K   Ado   M
775 A   A   Ado   M
776 B   C   Ado   M
777 D   A   Ado   M
778 D   A   Ado   M
779 K   B   Ado   M
780 B   G   Ado   M
781 E   D   Ado   M
782 E   J   Ado   M
783 J   A   Ado   M
784 J   H   Ado   M
785 J   I   Ado   M
786 B   D   Ado   M
787 D   E   Ado   M
788 H   H   Ado   M
789 I   C   Ado   M
790 C   B   Ado   M
791 B   D   Ado   M
792 B   C   Ado   M
793 B   H   Ado   M
794 B   A   Ado   M
795 G   C   Ado   M
796 A   A   Ado   M
797 B   B   Ado   M
798 J   J   Ado   M
799 K   K   Ado   M
800 A   K   Ado   M
801 B   B   Ado   M
802 A   B   Ado   M
803 B   A   Ado   M
804 A   B   Ado   M
805 D   C   Ado   M
806 B   B   Adulte  F
807 C   C   Adulte  F
808 I   I   Adulte  F
809 C   C   Adulte  F
810 D   B   Adulte  F
811 G   G   Adulte  F
812 J   J   Adulte  F
813 E   H   Adulte  F
814 K   K   Adulte  F
815 B   B   Adulte  F
816 I   I   Adulte  F
817 D   J   Adulte  F
818 H   B   Adulte  F
819 H   H   Adulte  F
820 B   G   Adulte  F
821 I   J   Adulte  F
822 I   B   Adulte  F
823 B   B   Adulte  F
824 C   C   Adulte  F
825 J   I   Adulte  F
826 B   A   Adulte  F
827 E   B   Adulte  F
828 D   D   Adulte  F
829 B   B   Adulte  F
830 B   G   Adulte  F
831 C   C   Adulte  F
832 B   H   Adulte  F
833 B   B   Adulte  F
834 G   H   Adulte  F
835 B   J   Adulte  F
836 H   H   Adulte  F
837 G   G   Adulte  F
838 K   D   Adulte  F
839 B   B   Adulte  F
840 K   H   Adulte  F
841 B   J   Adulte  F
842 B   C   Adulte  F
843 B   G   Adulte  F
844 B   B   Adulte  F
845 B   G   Adulte  F
846 C   J   Adulte  F
847 C   G   Adulte  F
848 G   G   Adulte  F
849 K   G   Adulte  F
850 G   I   Adulte  F
851 J   F   Adulte  F
852 F   G   Adulte  F
853 G   A   Adulte  F
854 G   G   Adulte  F
855 I   H   Adulte  F
856 F   I   Adulte  F
857 A   B   Adulte  F
858 G   F   Adulte  F
859 G   I   Adulte  F
860 A   J   Adulte  F
861 I   B   Adulte  F
862 K   G   Adulte  F
863 C   D   Adulte  F
864 I   G   Adulte  F
865 J   B   Adulte  F
866 B   B   Adulte  F
867 A   C   Adulte  F
868 D   I   Adulte  F
869 J   F   Adulte  F
870 H   G   Adulte  F
871 C   H   Adulte  F
872 E   D   Adulte  F
873 G   C   Adulte  F
874 F   B   Adulte  F
875 J   J   Adulte  F
876 D   H   Adulte  F
877 H   C   Adulte  F
878 E   I   Adulte  F
879 K   D   Adulte  F
880 D   D   Adulte  F
881 E   D   Adulte  F
882 E   H   Adulte  F
883 D   G   Adulte  F
884 K   D   Adulte  F
885 G   D   Adulte  F
886 H   C   Adulte  F
887 G   D   Adulte  F
888 G   H   Adulte  F
889 A   H   Adulte  F
890 D   B   Adulte  F
891 C   B   Adulte  F
892 J   A   Adulte  F
893 F   F   Adulte  F
894 B   H   Adulte  F
895 B   J   Adulte  F
896 J   C   Adulte  F
897 A   A   Adulte  F
898 F   B   Adulte  F
899 J   G   Adulte  F
900 J   G   Adulte  F
901 D   G   Adulte  F
902 B   D   Adulte  F
903 G   F   Adulte  F
904 A   E   Adulte  F
905 E   B   Adulte  F
906 G   F   Adulte  F
907 C   A   Adulte  F
908 F   I   Adulte  F
909 E   D   Adulte  F
910 D   E   Adulte  F
911 B   F   Adulte  F
912 F   B   Adulte  F
913 H   H   Adulte  F
914 F   I   Adulte  F
915 E   H   Adulte  F
916 F   B   Adulte  F
917 B   K   Adulte  F
918 G   J   Adulte  F
919 H   I   Adulte  F
920 H   J   Adulte  F
921 B   H   Adulte  F
922 K   D   Adulte  F
923 B   D   Adulte  F
924 I   F   Adulte  F
925 J   E   Adulte  F
926 H   D   Adulte  F
927 D   H   Adulte  F
928 B   H   Adulte  F
929 D   E   Adulte  F
930 F   D   Adulte  F
931 G   C   Adulte  F
932 A   E   Adulte  F
933 H   H   Adulte  F
934 F   E   Adulte  F
935 D   J   Adulte  F
936 C   B   Adulte  F
937 H   B   Adulte  F
938 H   A   Adulte  F
939 E   D   Adulte  F
940 F   A   Adulte  F
941 D   E   Adulte  F
942 B   C   Adulte  F
943 B   J   Adulte  F
944 A   G   Adulte  F
945 A   H   Adulte  F
946 B   H   Adulte  F
947 B   J   Adulte  F
948 C   K   Adulte  F
949 D   I   Adulte  F
950 E   C   Adulte  F
951 H   D   Adulte  F
952 J   E   Adulte  F
953 K   F   Adulte  F
954 I   D   Adulte  F
955 F   A   Adulte  F
956 G   J   Adulte  F
957 C   C   Adulte  F
958 E   B   Adulte  F
959 D   E   Adulte  F
960 A   I   Adulte  F
961 I   C   Adulte  F
962 B   E   Adulte  F
963 B   F   Adulte  F
964 E   G   Adulte  F
965 J   H   Adulte  F
966 C   I   Adulte  F
967 I   J   Adulte  F
968 B   K   Adulte  F
969 D   A   Adulte  F
970 J   C   Adulte  F
971 I   D   Adulte  F
972 C   B   Adulte  F
973 H   E   Adulte  F
974 E   A   Adulte  F
975 H   B   Adulte  F
976 A   C   Adulte  F
977 E   D   Adulte  F
978 J   K   Adulte  F
979 B   A   Adulte  F
980 B   I   Adulte  F
981 C   F   Adulte  F
982 C   I   Adulte  F
983 J   H   Adulte  F
984 K   E   Adulte  F
985 K   D   Adulte  F
986 E   B   Adulte  F
987 F   K   Adulte  F
988 H   K   Adulte  F
989 H   G   Adulte  F
990 E   A   Adulte  F
991 B   D   Adulte  F
992 G   F   Adulte  F
993 K   C   Adulte  F
994 K   I   Adulte  F
995 K   F   Adulte  F
996 A   A   Adulte  F
997 D   E   Adulte  F
998 C   F   Adulte  F
999 C   C   Adulte  F
1000    I   F   Adulte  F
1001    K   J   Adulte  F
1002    E   D   Adulte  F
1003    C   E   Adulte  F
1004    E   F   Adulte  F
1005    H   A   Adulte  F
1006    F   D   Adulte  F
1007    C   C   Adulte  F
1008    D   C   Adulte  F
1009    F   E   Adulte  F
1010    F   A   Adulte  F
1011    B   J   Adulte  F
1012    C   J   Adulte  F
1013    C   B   Adulte  F
1014    D   I   Adulte  F
1015    D   G   Adulte  F
1016    F   A   Adulte  F
1017    J   D   Adulte  F
1018    B   B   Adulte  F
1019    B   J   Adulte  F
1020    B   E   Adulte  F
1021    G   F   Adulte  F
1022    K   D   Adulte  F
1023    B   B   Adulte  F
1024    J   B   Adulte  F
1025    J   A   Adulte  F
1026    I   H   Adulte  F
1027    F   B   Adulte  F
1028    D   I   Adulte  F
1029    B   A   Adulte  F
1030    A   B   Adulte  F
1031    H   G   Adulte  F
1032    B   D   Adulte  F
1033    H   E   Adulte  F
1034    K   K   Adulte  F
1035    A   K   Adulte  F
1036    B   B   Adulte  F
1037    D   B   Adulte  F
1038    B   A   Adulte  F
1039    A   H   Adulte  F
1040    K   G   Adulte  F
1041    I   B   Adulte  F
1042    B   K   Adulte  F
1043    H   B   Adulte  F
1044    A   F   Adulte  F
1045    B   B   Adulte  F
1046    G   B   Adulte  F
1047    K   F   Adulte  F
1048    A   D   Adulte  F
1049    D   D   Adulte  M
1050    B   B   Adulte  M
1051    D   H   Adulte  M
1052    B   B   Adulte  M
1053    B   J   Adulte  M
1054    D   D   Adulte  M
1055    G   G   Adulte  M
1056    E   B   Adulte  M
1057    E   E   Adulte  M
1058    I   C   Adulte  M
1059    D   D   Adulte  M
1060    D   J   Adulte  M
1061    D   G   Adulte  M
1062    D   G   Adulte  M
1063    B   B   Adulte  M
1064    G   G   Adulte  M
1065    D   D   Adulte  M
1066    G   I   Adulte  M
1067    B   E   Adulte  M
1068    D   D   Adulte  M
1069    A   A   Adulte  M
1070    G   G   Adulte  M
1071    K   K   Adulte  M
1072    F   F   Adulte  M
1073    B   B   Adulte  M
1074    B   H   Adulte  M
1075    D   D   Adulte  M
1076    F   F   Adulte  M
1077    F   B   Adulte  M
1078    H   H   Adulte  M
1079    C   I   Adulte  M
1080    B   H   Adulte  M
1081    C   C   Adulte  M
1082    G   B   Adulte  M
1083    B   C   Adulte  M
1084    F   F   Adulte  M
1085    H   H   Adulte  M
1086    J   I   Adulte  M
1087    F   H   Adulte  M
1088    G   G   Adulte  M
1089    G   G   Adulte  M
1090    K   K   Adulte  M
1091    J   J   Adulte  M
1092    K   K   Adulte  M
1093    B   B   Adulte  M
1094    E   C   Adulte  M
1095    B   D   Adulte  M
1096    F   F   Adulte  M
1097    F   J   Adulte  M
