    Forme   Couleur   Age     Sexe
1098    F   E   Adulte  M
1099    D   H   Adulte  M
1100    D   E   Adulte  M
1101    F   J   Adulte  M
1102    B   H   Adulte  M
1103    H   A   Adulte  M
1104    J   K   Adulte  M
1105    K   I   Adulte  M
1106    A   A   Adulte  M
1107    F   J   Adulte  M
1108    C   C   Adulte  M
1109    A   A   Adulte  M
1110    D   D   Adulte  M
1111    B   D   Adulte  M
1112    E   B   Adulte  M
1113    F   H   Adulte  M
1114    E   J   Adulte  M
1115    H   B   Adulte  M
1116    G   B   Adulte  M
1117    J   D   Adulte  M
1118    I   D   Adulte  M
1119    K   H   Adulte  M
1120    F   K   Adulte  M
1121    D   K   Adulte  M
1122    H   H   Adulte  M
1123    I   J   Adulte  M
1124    D   D   Adulte  M
1125    A   B   Adulte  M
1126    D   B   Adulte  M
1127    C   C   Adulte  M
1128    D   D   Adulte  M
1129    A   A   Adulte  M
1130    J   J   Adulte  M
1131    D   K   Adulte  M
1132    A   K   Adulte  M
1133    J   H   Adulte  M
1134    H   I   Adulte  M
1135    J   H   Adulte  M
1136    J   J   Adulte  M
1137    D   B   Adulte  M
1138    D   D   Adulte  M
1139    B   D   Adulte  M
1140    B   D   Adulte  M
1141    B   D   Adulte  M
1142    D   C   Adulte  M
1143    H   H   Adulte  M
1144    J   J   Adulte  M
1145    C   C   Adulte  M
1146    A   E   Adulte  M
1147    F   J   Adulte  M
1148    I   K   Adulte  M
1149    I   I   Adulte  M
1150    F   F   Adulte  M
1151    D   D   Adulte  M
1152    F   E   Adulte  M
1153    J   J   Adulte  M
1154    A   K   Adulte  M
1155    B   A   Adulte  M
1156    C   C   Adulte  M
1157    D   B   Adulte  M
1158    E   D   Adulte  M
1159    E   E   Adulte  M
1160    D   E   Adulte  M
1161    F   D   Adulte  M
1162    B   B   Adulte  M
1163    B   C   Adulte  M
1164    B   B   Adulte  M
1165    A   A   Adulte  M
1166    A   A   Adulte  M
1167    B   C   Adulte  M
1168    A   A   Adulte  M
1169    H   H   Adulte  M
1170    J   J   Adulte  M
1171    K   I   Adulte  M
1172    B   B   Adulte  M
1173    C   B   Adulte  M
1174    E   C   Adulte  M
1175    E   E   Adulte  M
1176    B   A   Adulte  M
1177    A   A   Adulte  M
1178    K   K   Adulte  M
1179    A   B   Adulte  M
1180    C   D   Adulte  M
1181    D   H   Adulte  M
1182    H   K   Adulte  M
1183    E   E   Adulte  M
1184    A   B   Adulte  M
1185    B   C   Adulte  M
1186    B   B   Adulte  M
1187    B   A   Adulte  M
1188    A   A   Adulte  M
1189    G   G   Adulte  M
1190    C   G   Adulte  M
1191    G   G   Adulte  M
1192    H   H   Adulte  M
