"No_ordre" "No_Bague_droite" "Lignée" "Régime" "Lot" "PoidsVif_S9_g" "GrasAbdo_g" "Gras_arrière2cuisse_g" "Foie_g" "Cœur_g" "PectMajor_g" "plasma_AcUrique" "plasma_B.OH" "plasma_Urée" "plasma_Chol_total" "plasma_PPL" "plasma_TG" "plasma_T3" "plasma_T4" "plasma_Insuline" "foie_C14" "foie_C16" "foie_C16.1" "foie_C18" "foie_C18.1" "foie_C18.2" "foie_C18.3" "foie_C20" "foie_C20.1" "foie_C20.4" "foie_C20.5" "foie_C22.5" "foie_C22.6" "foie_AGS" "foie_AGMI" "foie_AGPI" "foie_n.6" "foie_n.3" "foie_n6ONn3" "foie_LCn3" "foie_PERC.lipid" "foie_glycogen" "foie_Lactate" "foie_PG"
"16" 17 3455 "M" "BL" "M-BL" 2026 19.1 2.49 46 12.3 86.44 43.95 610.18 41.17 1194.69 1.83 286.4 3.987 12.916 159 0.41 22.85 1.32 24.85 22.76 14.39 0.41 0.23 0.39 9.08 0.64 0.47 2.19 48.34 24.47 27.18 23.47 3.71 6.33 3.3 4.47 400.8 7.36 808.96
"17" 18 4024 "G" "BL" "G-BL" 2684 93.7 8.34 55 16.5 132.08 94.49 752.8 46.91 1134.14 1.85 351.74 2.632 18.235 100 0.44 26.15 1.44 24.31 24.34 12.2 0.25 0.1 0.34 7.72 0.47 0.47 1.76 51 26.12 22.87 19.92 2.95 6.75 2.7 3.95 351.33 6.2 708.87
"18" 19 3600 "M" "HL" "M-HL" 2080 19.7 4.12 37.4 13.2 94.7 32.28 497.57 20.9 963.04 1.51 404.99 NA 11.68 94 0.35 21.94 0.74 24.6 20.97 17.98 0.71 0.12 0.33 8.44 0.37 0.65 2.81 47.01 22.04 30.96 26.42 4.54 5.82 3.83 3.86 274.55 6.49 555.59
"19" 20 3865 "G" "HL" "G-HL" 2455 88.6 3.25 48.1 13.7 113.52 77.6 625.87 30.29 1128.4 1.79 448.34 2.19 21.657 48 0.32 20.91 0.55 23.37 19.58 20.17 0.84 0.13 0.39 9.33 0.51 0.64 3.27 44.73 20.52 34.76 29.5 5.26 5.61 4.42 4.04 278.29 6 562.58
"20" 21 3877 "G" "HL" "G-HL" 2478 106.4 12.4 46 14 94.97 65.79 506.41 35.77 1141.42 2.04 783.17 2.704 13.06 75 0.42 19.06 0.69 20.58 22.06 22.69 1.26 0.24 0.37 8.85 0.5 0.63 2.65 40.3 23.12 36.58 31.54 5.04 6.26 3.78 3.14 341.53 5.98 689.04
"21" 22 3466 "M" "HL" "M-HL" 2456 18.7 3.12 45.7 15.1 121.96 66.76 490.08 37.61 1066.08 1.7 447.26 2.05 14.021 94 0.57 16.21 0.7 15.35 26.98 29.28 2.88 0.68 0.31 4.87 0.29 0.45 1.42 32.81 27.99 39.19 34.15 5.04 6.78 2.16 4.02 294.03 6.87 594.92
"22" 23 3901 "G" "BL" "G-BL" 2371 72.2 9.68 47.6 11.9 99.16 119.9 630.01 46.43 1686.12 2.71 671.16 2.36 15.269 114 0.41 22.77 1.38 24.17 20.01 16.96 0.63 0.13 0.3 9.44 0.56 0.96 2.28 47.48 21.69 30.83 26.4 4.43 5.96 3.8 3.44 442.64 3.68 888.96
"23" 24 3512 "M" "BL" "M-BL" 2290 23.4 3.79 46.1 12.5 110.3 64.6 617.64 33.21 1602.02 2.14 461.64 5.349 6.681 213 0.44 24.09 1.72 22.39 23.43 15.04 0.46 0.22 0.28 8.85 0.54 0.52 2.01 47.14 25.43 27.42 23.89 3.53 6.77 3.07 6.14 300.27 5.35 605.88
"24" 25 3598 "M" "BL" "M-BL" 2415 15.5 1.99 47.4 13.7 111.3 49.42 763.06 24.74 1331.98 1.86 431.65 3.714 10.534 104 0.25 22.92 1.02 26.39 18.48 14.73 0.46 0.05 0.36 10.97 0.52 0.62 3.22 49.61 19.86 30.52 25.7 4.82 5.33 4.36 4.74 418.98 6.8 844.76
"25" 26 3969 "G" "BL" "G-BL" 2623 90.7 17.14 58 12.5 115.58 79.22 595.37 34.8 1597.85 2.64 790.76 2.032 13.392 129 0.41 24.33 1.44 25.21 19.8 15.7 0.42 0.14 0.23 8.99 0.76 0.55 2.03 50.09 21.47 28.45 24.69 3.76 6.57 3.34 3.64 441.39 6.15 888.92
"26" 27 3667 "M" "HL" "M-HL" 2492 37.2 6 44.6 14.5 107.8 39.45 418.77 27.08 1308.55 2.18 510.9 4.169 16.044 114 0.32 19.65 0.8 26.3 15.85 20.43 0.8 0.15 0.27 11.08 0.81 1.02 2.53 46.42 16.92 36.67 31.51 5.16 6.11 4.36 4.4 242.24 7.95 492.42
"27" 28 3956 "G" "HL" "G-HL" 2216 62.6 5.43 42.2 18 89.16 61.82 427.98 35.28 1575.67 1.95 552.27 3.636 13.671 46 0.3 17.5 0.75 19.93 20.35 26.23 1.52 0.12 0.29 9.31 0.43 0.88 2.38 37.85 21.39 40.75 35.54 5.21 6.82 3.69 6.38 220.31 7.57 448.2
"28" 29 3839 "G" "HL" "G-HL" 2366 74.7 6.5 56.1 15.2 104.9 55.09 313.04 33.2 1781.96 2.38 612.34 4.551 12.258 32 0.3 18.09 0.38 26.05 14.27 24.15 0.9 0.15 0.32 11.71 0.51 0.74 2.44 44.59 14.97 40.45 35.86 4.59 7.81 3.69 3.08 305.86 7.48 619.21
"29" 30 3619 "M" "HL" "M-HL" 2401 27.8 4.21 48.9 16.1 105.49 46.56 313.62 24.18 1319.76 1.84 395.39 2.215 16.778 94 0.39 17.43 0.45 25.02 14.95 22.69 1.02 0.46 0.25 11.83 1.02 0.89 3.61 43.3 15.65 41.06 34.52 6.54 5.28 5.52 4.92 418.56 4.41 841.54
"31" 32 3492 "M" "BL" "M-BL" 2301 45.3 8.17 51.4 11.3 96.57 81.49 464.11 35.98 1590.4 2.53 683.74 1.217 4.46 178 0.48 21.75 1.76 21.58 26.21 15.94 0.61 0.16 0.39 8.24 0.51 0.45 1.93 43.97 28.36 27.68 24.18 3.5 6.91 2.89 5.06 346.51 4.66 697.68
"32" 33 3486 "M" "BL" "M-BL" 1939 11.2 1.13 41.5 13.8 86.7 47.1 803.94 41.75 1437.06 2.18 571.8 3.009 8.954 70 0.46 22.21 1.94 22.37 30.12 12.13 0.46 0.16 0.38 7.25 0.49 0.38 1.66 45.2 32.44 22.37 19.38 2.99 6.48 2.53 3.31 341.75 8.64 692.13
"34" 35 3488 "M" "HL" "M-HL" 2163 38.8 4.17 45.8 14.3 95.52 81.07 587.4 29.97 1243.6 2.18 673.53 2.518 13.473 160 0.33 19.27 0.7 23.2 17.87 22.58 1.17 0.05 0.26 10.08 0.72 0.86 2.9 42.85 18.83 38.31 32.66 5.65 5.78 4.48 3.55 244.78 8.13 497.69
