"F_01" "F_02" "F_03" "F_04" "F_05" "F_06" "F_07" "F_08" "F_09" "F_10" "F_11" "F_13" "F_14" "F_15" "F_16" "F_17" "F_18" "F_19" "F_20" "F_21" "F_22" "F_23" "F_24" "F_25" "F_26" "F_27" "F_28" "F_29" "F_30" "F_32" "F_33" "F_35" "F_36" "F_37" "F_38" "F_39" "F_40" "F_41" "F_42" "F_43" "F_44" "F_45" "F_46" "F_47" "F_48" "F_49"
"A_87_P078001" 3.01179849145761 1.99250765474513 2.49300453973725 -0.0782475459204666 -0.0401987256031328 1.18671613037858 1.95382819232074 2.81751230968449 2.92372452568562 1.84419060669264 1.71199557530402 -1.21661485686309 2.09418394225199 2.11219004975476 3.1206964924554 2.87929744307675 -0.442610393245179 1.76334331432281 1.88475077003143 1.85918944697996 1.90202791557336 -0.622595118070211 2.46506894735901 3.57490154269117 -0.5937420044651 0.191864404438659 1.03621107823297 0.57409073938906 1.2585567409187 2.12933303683657 2.61888132421619 1.10974335321282 -1.01273226906178 0.211798117662055 0.986853531845968 2.87933460265908 2.97243307511831 4.14388016905774 2.25810071973992 2.14184761909416 0.920300306338597 4.10996162667032 2.2407089859161 2.04660895049546 -0.479243663635604 -0.966375355259852
"A_87_P201828" 7.6524116984437 7.34262682696922 6.79446032626194 4.04942829169081 5.2407819744299 5.81072729405527 8.21383574487096 8.12234254184152 8.48135478749343 7.53601576901095 6.38441194468233 4.17656584436103 8.06924846775138 7.2851244948421 8.48082180718015 7.41425292749596 8.15215571747913 6.06735319269844 6.51130686371994 6.07540540708766 2.45158541678012 8.16894377530575 7.20558266326649 8.344459696044 8.94279252044387 6.17998055757382 5.50459217106118 3.75748419828132 5.08748116666632 6.0434760566414 8.00283190323603 6.46579449213077 4.66183337035149 3.40159015331846 5.29194584601549 7.89057165022887 9.28853905216513 7.71623077043224 8.63769963300662 5.10800391711999 4.36307844595681 8.62456412429886 6.91627910568884 4.68613535832577 5.46309473871451 4.70329573303306
"A_87_P172223" 1.35248344220686 2.97397398981108 1.15410051147531 -0.133257718605093 0.300532855997544 0.91853152016491 2.57700567283909 1.49902999198579 2.82849225198509 2.44297313460685 2.01332953745126 -0.000675523272295642 2.31436644417713 2.89900786783681 3.07435642034885 1.16196602607116 2.82343880013998 1.09899663361527 0.576474081408757 0.309067891194186 -0.420183422540901 2.40047876011762 0.41044734367142 2.52250949854844 3.16127102697835 0.766851279264444 1.7756440291339 -0.477458650839049 -0.135361635105649 1.31263813871676 2.46732918884653 1.31929042856946 0.262196724052662 0.949617761360907 0.813677519901366 3.01606154779509 2.56845127194059 2.01074535472957 3.11468242971745 -1.57062327520188 0.866193417989559 1.76775182412322 2.17238217690231 -0.371542224500964 0.49569653774556 -0.514410880367376
"A_87_P080586" 2.03439964487196 2.14662920562786 1.59351703914358 -0.589698316345709 0.550024822500894 0.733965749329075 1.97092190271041 1.90716506630258 2.43957720371454 1.803030886273 0.983195254135823 -0.360600648859982 1.76859574357828 2.00664251308692 2.16190891449363 1.7329577090784 2.29807307711148 0.769901884665339 0.0907688995253242 -0.215850021165048 -1.02640247734615 2.55953322345115 1.90143835765003 2.51685822897882 2.31352918820731 0.0274040958914604 -0.529143493253209 -0.569837034786673 -0.116753114727272 1.62835623402288 2.06475469646602 0.860459138424499 -0.696657432201155 0.126958657153767 0.527710910062306 2.37159872569672 3.44365711689245 1.64772995497817 2.38007915970116 -0.291649282317325 -0.527893070015062 2.42949746339588 2.65924036413324 -0.80106906908395 -0.152584289881239 -1.78352799493818
"T018558_G011376_ANKRD9_423469" 12.8558704108354 12.2770607528079 12.5236838546514 9.06122205740878 9.9067528576074 10.9603131429426 12.9482474412237 13.0841699799471 11.9197989919363 11.9047069237217 10.5015179057962 12.6744534877685 11.6679974804477 12.176888260521 11.6895143474064 12.2033673906732 13.1381162702019 9.81545910519698 10.5903012692161 10.741078810384 10.4428315598832 12.5217614261415 12.8526624271881 12.6831533236592 13.5630802220601 10.2701343532559 8.63901502655422 9.29264415406314 10.8152572341325 12.1007836384731 12.2926608012819 11.9015765004546 11.6231187985408 11.6475051445541 11.6733509072165 12.4461649735015 13.2435821201444 12.4678679127323 11.9732738458503 11.4167347727552 10.1555813086393 12.1808702327967 11.2249441371563 9.49709028298494 9.95766561178844 9.69884297771347
"seq_RIGG10144" -4.45781906129189 -4.01162013941975 -5.45888815791414 -8.74725392632484 -6.75080209999914 -7.74560284899941 -4.30532417460363 -3.67925072375859 -3.56004490261154 -4.12949869587185 -6.10870282470127 -7.21815699481825 -4.72231147147173 -2.96183247569506 -2.24173739727343 -4.13233402129184 -2.6729119486102 -6.2827338392796 -6.55138753051621 -7.80729270950853 -6.96293453836471 -3.25066606980521 -4.73532529956208 -2.97666038174147 -3.51464822196419 -6.85804688045653 -7.36775255688463 -6.28836304225671 -7.82322801220159 -4.65761821029842 -4.5620871473586 -6.0688714462535 -7.79117359469182 -6.52248085124579 -6.63593353172818 -3.13905700845382 -1.8388804428068 -4.99926058582105 -3.67838993141484 -6.81301596056573 -6.89491523381711 -4.1028447600444 -4.26573838067841 -7.14620537907325 -6.99183471380669 -7.61243141189246
"A_87_P009404" 4.53681706256641 3.65873507503352 2.98547462475667 1.78181382223642 2.30950360034028 3.36653683930659 3.4084563784087 2.85925698230107 3.3273338217635 3.1405393536317 3.61315515223317 2.62310934351777 3.66273240886944 3.68501935932427 3.63343626185 2.99663880117679 4.52289067886839 2.41877071216526 3.58866771611568 1.77814727415031 1.41259915589483 3.24745632339945 2.49591053200911 3.10853299330435 4.48534603770662 2.52815207599348 2.09632303115371 0.200163397057601 1.94699179809103 3.55171815600429 3.66185038162351 2.48942697940926 2.4410035499115 3.77847189248763 4.03250868545304 4.51374341413608 3.44740434642023 3.54624686173419 4.75114406615868 1.43523140901235 3.28812468201449 3.55452929395435 3.62312661750688 -0.620158090682143 3.27646480793204 0.507010023047535
"A_87_P292738" 0.483741774894366 1.72892167197607 0.188160094618715 -1.30518288836233 -0.823138955828556 -0.083381286455645 1.1529550727041 0.774500441046374 1.8561778848575 1.14988103609942 0.98774025252055 -1.10893304556612 1.20124286268615 1.63527319233779 2.07503555183189 0.33802426268026 1.76013945432391 0.413610208813592 -0.584199896621393 -0.749685335906825 -1.57131700906417 1.2934371796758 -0.264541692568297 1.33246522751383 1.81970819001066 0.104908757521271 0.609877103825954 -1.52128768762937 -0.752411463472526 0.140607458416922 1.65421887168707 -0.0750221912399571 -0.760455112693311 -0.0827296714825427 -0.0759144823746981 1.6745741958024 1.49465677200436 1.09954247903174 1.98926861955451 -2.34856091758674 -0.0728509079515232 0.632074119932217 0.745226375933709 -1.23277025947753 -0.640762155198597 -1.5468089113884
"lip_ACSBG2" 19.9554500208831 18.0811837426166 17.8643812950802 16.0643772713595 14.4899766833752 16.7593223078099 18.495862984278 20.3817532173444 19.3112152646897 19.3107580304881 19.0381442732853 16.6745712140726 17.2210160468902 18.2981028964466 19.9676450377122 18.5125732775683 19.9408789039967 17.9523568919399 17.4930344669482 16.6134906038259 15.5013337594477 19.2356090410281 19.1472447726806 20.2618912504497 20.2125617182198 15.4479439097222 16.6258012034118 15.2389694920375 16.2040722086546 18.9607319084607 18.9140758293717 17.828750718123 16.713496474704 15.3835962410882 17.930052644838 18.8481766491392 19.331245795514 19.0536687615796 19.5514797727617 15.0344576439196 17.6507246308694 19.065372971308 19.2074917296113 14.7801947670416 18.003893739613 16.1009158083725
"T034913_G004703_LOC769138_769138" 0.174779621094067 -2.69837959927623 -3.27998293595807 -4.31390324046561 -5.08482421589035 -4.71918473695193 -3.13482248633171 -0.0352288753740812 -0.873843154727715 -0.995680107491695 -2.91708415923209 -4.20003947806103 -3.26346664074835 -0.298949114834084 0.949579898588702 -1.40971242286923 -0.724031791112151 -4.27171601873035 -3.9171214112851 -4.44671671457315 -4.50113826724404 -0.978622067150963 -2.51330034440918 -0.159106909949192 -1.73559664091218 -4.74458117635428 -3.18254567331382 -4.45896308498924 -4.8660798825447 -2.53556449581435 -2.3062730916633 -3.81904907945024 -4.18045243933061 -3.8736613626038 -3.66304110551176 -2.73233070084851 0.421500657624408 -2.06963970980613 1.14702924064845 -4.13677355276566 -3.35637536936345 -2.9829219404932 -0.774534623566444 -4.29999344373714 -3.84871181534151 -4.27781858057661
