"Genre" "TypeFormation" "AnnéeFormation" "Statut" "Ecole" "Campus" "Implantation" "Accueil" "Qualité formation" "Hébergement" "Centre doc." "Eq. sportifs" "Vie campus" "Cadre de vie" "Sécurité" "Cond. vie générale"
"49" "Femme" "Ingénieur" "L3" "Etudiant" "Dijon" "Dijon" "Satisfait" "Très satisfait" "Peu satisfait" "Ne sais pas / non concerné" "Très satisfait" "Insatisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Satisfait"
"51" "Femme" "Ingénieur" "L3" "Etudiant" "Rennes-Angers" "Angers" "Satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Peu satisfait" "Très satisfait" "Satisfait" "Satisfait" "Satisfait"
"52" "Femme" "Ingénieur" "Césure" "Etudiant" "Dijon" "Dijon" "Satisfait" "Satisfait" "Satisfait" "Insatisfait" "Très satisfait" "Peu satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait"
"54" "Femme" "Ingénieur" "M1" "Etudiant" "Rennes-Angers" "Rennes" "Très satisfait" "Très satisfait" "Satisfait" "Ne sais pas / non concerné" "Très satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait"
"55" "Homme" "Ingénieur" "L2" "Etudiant" "Rennes-Angers" "Angers" "Peu satisfait" "Satisfait" "Satisfait" "Insatisfait" "Satisfait" "Insatisfait" "Satisfait" "Satisfait" "Satisfait" "Peu satisfait"
"56" "Femme" "Ingénieur" "M1" "Etudiant" "Dijon" "Dijon" "Très satisfait" "Très satisfait" "Très satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Peu satisfait" "Très satisfait"
"58" "Femme" "Ingénieur" "M1" "Etudiant" "Dijon" "Dijon" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Très satisfait" "Satisfait" "Peu satisfait" "Satisfait" "Très satisfait" "Très satisfait"
"59" "Femme" "Master" "Césure" "Etudiant" "Rennes-Angers" "Angers" "Satisfait" "Satisfait" "Satisfait" "Ne sais pas / non concerné" "Satisfait" "Peu satisfait" "Très satisfait" "Satisfait" "Satisfait" "Satisfait"
"60" "Homme" "Ingénieur" "M2" "Apprenti" "Dijon" "Dijon" "Satisfait" "Très satisfait" "Satisfait" "Ne sais pas / non concerné" "Très satisfait" "Satisfait" "Très satisfait" "Satisfait" "Très satisfait" "Très satisfait"
"62" "Homme" "Ingénieur" "M1" "Etudiant" "Dijon" "Dijon" "Satisfait" "Satisfait" "Insatisfait" "Ne sais pas / non concerné" "Très satisfait" "Peu satisfait" "Peu satisfait" "Satisfait" "Satisfait" "Satisfait"
"63" "Femme" "Ingénieur" "L1" "Etudiant" "Dijon" "Dijon" "Très satisfait" "Insatisfait" "Satisfait" "Satisfait" "Très satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait"
"64" "Homme" "Ingénieur" "M2" "Etudiant" "Rennes-Angers" "Rennes" "Très satisfait" "Très satisfait" "Peu satisfait" "Satisfait" "Très satisfait" "Insatisfait" "Satisfait" "Très satisfait" "Très satisfait" "Très satisfait"
"65" "Femme" "Ingénieur" "M1" "Etudiant" "Dijon" "Dijon" "Satisfait" "Satisfait" "Peu satisfait" "Peu satisfait" "Satisfait" "Insatisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait"
"67" "Femme" "Ingénieur" "L2" "Etudiant" "Rennes-Angers" "Rennes" "Satisfait" "Très satisfait" "Satisfait" "Peu satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait" "Très satisfait"
"68" "Femme" "Ingénieur" "M2" "Etudiant" "Rennes-Angers" "Rennes" "Satisfait" "Peu satisfait" "Très satisfait" "Ne sais pas / non concerné" "Très satisfait" "Satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Très satisfait"
"70" "Femme" "Ingénieur" "M2" "Etudiant" "Dijon" "Dijon" "Satisfait" "Satisfait" "Insatisfait" "Ne sais pas / non concerné" "Très satisfait" "Peu satisfait" "Satisfait" "Très satisfait" "Satisfait" "Satisfait"
"71" "Femme" "Ingénieur" "L2" "Etudiant" "Rennes-Angers" "Rennes" "Très satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Peu satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait"
"72" "Femme" "Ingénieur" "M2" "Etudiant" "Dijon" "Dijon" "Satisfait" "Satisfait" "Satisfait" "Très satisfait" "Très satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait" "Satisfait"
"73" "Homme" "Ingénieur" "L1" "Etudiant" "Dijon" "Dijon" "Très satisfait" "Satisfait" "Satisfait" "Très satisfait" "Satisfait" "Satisfait" "Très satisfait" "Satisfait" "Très satisfait" "Très satisfait"
