"Annee" "Specialites" "Genre"
"141" "2022" "PC/SVT" "Masculin"
"142" "2022" "Autres" "Masculin"
"143" "2022" "MATHS/SVT" "Masculin"
"144" "2022" "MATHS/PC" "Féminin"
"145" "2022" "MATHS/PC" "Masculin"
"146" "2022" "MATHS/SVT" "Féminin"
"147" "2022" "MATHS/SVT" "Féminin"
"148" "2022" "MATHS/SVT" "Féminin"
"149" "2022" "MATHS/SVT" "Féminin"
"150" "2022" "PC/SVT" "Féminin"
"151" "2022" "MATHS/SVT" "Masculin"
"152" "2022" "MATHS/SVT" "Féminin"
"153" "2022" "MATHS/PC" "Masculin"
"154" "2022" "PC/SVT" "Féminin"
"155" "2022" "MATHS/SVT" "Masculin"
"156" "2022" "PC/SVT" "Masculin"
"157" "2022" "MATHS/SVT" "Masculin"
"158" "2022" "PC/SVT" "Masculin"
"159" "2022" "MATHS/SVT" "Féminin"
"160" "2022" "MATHS/PC" "Féminin"
"161" "2022" "MATHS/SVT" "Féminin"
"162" "2022" "MATHS/PC" "Masculin"
"163" "2022" "MATHS/SVT" "Masculin"
"164" "2022" "PC/SVT" "Féminin"
"165" "2022" "PC/SVT" "Féminin"
"166" "2022" "MATHS/PC" "Féminin"
"167" "2022" "PC/SVT" "Masculin"
"168" "2022" "MATHS/SVT" "Masculin"
"169" "2022" "MATHS/PC" "Féminin"
"170" "2022" "PC/SVT" "Féminin"
"171" "2022" "PC/SVT" "Féminin"
"172" "2022" "MATHS/PC" "Masculin"
"173" "2022" "PC/SVT" "Féminin"
"174" "2022" "MATHS/PC" "Féminin"
"175" "2022" "Autres" "Masculin"
"176" "2022" "MATHS/PC" "Féminin"
"177" "2022" "MATHS/PC" "Masculin"
"178" "2022" "MATHS/SVT" "Féminin"
"179" "2022" "MATHS/SVT" "Masculin"
"180" "2022" "MATHS/SVT" "Masculin"
"181" "2022" "MATHS/PC" "Masculin"
"182" "2022" "MATHS/PC" "Féminin"
"183" "2022" "MATHS/SVT" "Masculin"
"184" "2022" "PC/SVT" "Féminin"
"185" "2022" "PC/SVT" "Masculin"
"186" "2022" "MATHS/SVT" "Masculin"
"187" "2022" "Autres" "Féminin"
"188" "2022" "MATHS/PC" "Féminin"
"189" "2022" "PC/SVT" "Masculin"
"190" "2022" "MATHS/PC" "Féminin"
"191" "2022" "MATHS/PC" "Féminin"
"192" "2022" "MATHS/SVT" "Masculin"
"193" "2022" "MATHS/SVT" "Féminin"
"194" "2022" "MATHS/PC" "Féminin"
"195" "2022" "PC/SVT" "Féminin"
"196" "2022" "MATHS/PC" "Féminin"
"197" "2022" "MATHS/SVT" "Masculin"
"198" "2022" "PC/SVT" "Féminin"
"199" "2022" "MATHS/PC" "Masculin"
"200" "2022" "PC/SVT" "Féminin"
"201" "2022" "MATHS/PC" "Féminin"
"202" "2022" "MATHS/SVT" "Masculin"
"203" "2022" "PC/SVT" "Féminin"
"204" "2022" "PC/SVT" "Féminin"
"205" "2022" "PC/SVT" "Féminin"
"206" "2022" "MATHS/PC" "Masculin"
"207" "2022" "MATHS/SVT" "Féminin"
"208" "2022" "MATHS/PC" "Féminin"
"209" "2022" "MATHS/PC" "Masculin"
"210" "2022" "PC/SVT" "Féminin"
"211" "2022" "MATHS/PC" "Masculin"
"212" "2022" "PC/SVT" "Masculin"
"213" "2023" "MATHS/SVT" "Masculin"
"214" "2023" "MATHS/PC" "Masculin"
"215" "2023" "MATHS/PC" "Masculin"
"216" "2023" "MATHS/SVT" "Masculin"
"217" "2023" "PC/SVT" "Féminin"
"218" "2023" "MATHS/SVT" "Féminin"
"219" "2023" "MATHS/SVT" "Féminin"
"220" "2023" "PC/SVT" "Féminin"
"221" "2023" "MATHS/SVT" "Masculin"
"222" "2023" "MATHS/PC" "Masculin"
"223" "2023" "MATHS/PC" "Féminin"
"224" "2023" "MATHS/PC" "Féminin"
"225" "2023" "MATHS/SVT" "Féminin"
"226" "2023" "MATHS/PC" "Masculin"
"227" "2023" "MATHS/PC" "Masculin"
"228" "2023" "PC/SVT" "Masculin"
"229" "2023" "PC/SVT" "Féminin"
"230" "2023" "MATHS/PC" "Féminin"
"231" "2023" "PC/SVT" "Féminin"
"232" "2023" "MATHS/SVT" "Masculin"
"233" "2023" "MATHS/PC" "Féminin"
"234" "2023" "MATHS/PC" "Féminin"
"235" "2023" "MATHS/PC" "Féminin"
"236" "2023" "PC/SVT" "Masculin"
"237" "2023" "PC/SVT" "Masculin"
"238" "2023" "MATHS/PC" "Féminin"
"239" "2023" "MATHS/SVT" "Féminin"
"240" "2023" "MATHS/SVT" "Féminin"
"241" "2023" "MATHS/PC" "Féminin"
"242" "2023" "PC/SVT" "Masculin"
"243" "2023" "MATHS/PC" "Féminin"
"244" "2023" "PC/SVT" "Masculin"
"245" "2023" "PC/SVT" "Masculin"
"246" "2023" "MATHS/SVT" "Masculin"
"247" "2023" "MATHS/PC" "Masculin"
"248" "2023" "PC/SVT" "Féminin"
"249" "2023" "PC/SVT" "Féminin"
"250" "2023" "MATHS/PC" "Féminin"
"251" "2023" "MATHS/PC" "Féminin"
"252" "2023" "MATHS/PC" "Féminin"
"253" "2023" "MATHS/SVT" "Masculin"
"254" "2023" "MATHS/SVT" "Féminin"
"255" "2023" "MATHS/SVT" "Féminin"
"256" "2023" "MATHS/SVT" "Masculin"
"257" "2023" "MATHS/SVT" "Masculin"
"258" "2023" "Autres" "Féminin"
"259" "2023" "MATHS/PC" "Masculin"
"260" "2023" "PC/SVT" "Féminin"
"261" "2023" "MATHS/PC" "Masculin"
"262" "2023" "MATHS/PC" "Féminin"
"263" "2023" "MATHS/SVT" "Féminin"
"264" "2023" "PC/SVT" "Masculin"
"265" "2023" "MATHS/SVT" "Masculin"
"266" "2023" "MATHS/SVT" "Féminin"
"267" "2023" "MATHS/PC" "Féminin"
"268" "2023" "MATHS/PC" "Masculin"
"269" "2023" "MATHS/PC" "Féminin"
"270" "2023" "MATHS/SVT" "Masculin"
"271" "2023" "MATHS/SVT" "Féminin"
"272" "2023" "MATHS/SVT" "Féminin"
"273" "2023" "MATHS/PC" "Féminin"
"274" "2023" "MATHS/PC" "Féminin"
"275" "2023" "MATHS/PC" "Féminin"
"276" "2023" "Autres" "Masculin"
"277" "2023" "MATHS/PC" "Féminin"
"278" "2023" "MATHS/SVT" "Masculin"
"279" "2023" "PC/SVT" "Masculin"
"280" "2023" "PC/SVT" "Masculin"
"281" "2023" "MATHS/SVT" "Masculin"
"282" "2023" "MATHS/PC" "Féminin"
"283" "2023" "MATHS/PC" "Féminin"
"284" "2023" "PC/SVT" "Féminin"
"285" "2023" "PC/SVT" "Féminin"
"286" "2023" "MATHS/SVT" "Masculin"
"287" "2023" "MATHS/SVT" "Masculin"
"288" "2023" "MATHS/SVT" "Féminin"
"289" "2023" "MATHS/PC" "Féminin"
"290" "2023" "MATHS/PC" "Masculin"
"291" "2023" "MATHS/SVT" "Féminin"
"292" "2023" "MATHS/PC" "Féminin"
"293" "2023" "MATHS/SVT" "Masculin"
"294" "2023" "MATHS/PC" "Féminin"
"295" "2023" "MATHS/PC" "Masculin"
"296" "2023" "PC/SVT" "Féminin"
"297" "2023" "MATHS/PC" "Féminin"
"298" "2023" "PC/SVT" "Masculin"
"299" "2023" "MATHS/PC" "Masculin"
"300" "2023" "MATHS/PC" "Féminin"
"301" "2023" "MATHS/SVT" "Féminin"
"302" "2023" "MATHS/PC" "Masculin"
"303" "2023" "MATHS/SVT" "Féminin"
"304" "2023" "MATHS/PC" "Masculin"
"305" "2023" "MATHS/SVT" "Masculin"
"306" "2023" "PC/SVT" "Féminin"
"307" "2023" "MATHS/PC" "Masculin"
"308" "2023" "MATHS/SVT" "Féminin"
"309" "2023" "MATHS/PC" "Féminin"
"310" "2023" "MATHS/SVT" "Masculin"
"311" "2023" "PC/SVT" "Masculin"
"312" "2023" "MATHS/PC" "Masculin"
"313" "2023" "MATHS/PC" "Masculin"
"314" "2023" "PC/SVT" "Masculin"
"315" "2023" "MATHS/SVT" "Féminin"
"316" "2023" "MATHS/PC" "Féminin"
"317" "2023" "Autres" "Masculin"
"318" "2023" "MATHS/PC" "Masculin"
"319" "2023" "MATHS/PC" "Féminin"
"320" "2023" "MATHS/SVT" "Féminin"
"321" "2023" "MATHS/SVT" "Masculin"
"322" "2023" "MATHS/SVT" "Féminin"
"323" "2023" "MATHS/PC" "Féminin"
"324" "2023" "PC/SVT" "Masculin"
"325" "2023" "PC/SVT" "Féminin"
"326" "2023" "MATHS/PC" "Féminin"
"327" "2023" "PC/SVT" "Masculin"
"328" "2023" "MATHS/SVT" "Féminin"
"329" "2023" "MATHS/SVT" "Masculin"
"330" "2023" "MATHS/SVT" "Féminin"
"331" "2023" "Autres" "Masculin"
"332" "2023" "PC/SVT" "Féminin"
"333" "2023" "PC/SVT" "Féminin"
"334" "2023" "PC/SVT" "Féminin"
"335" "2023" "MATHS/PC" "Masculin"
"336" "2023" "MATHS/PC" "Féminin"
"337" "2023" "MATHS/PC" "Féminin"
"338" "2023" "MATHS/PC" "Féminin"
"339" "2023" "PC/SVT" "Masculin"
"340" "2023" "PC/SVT" "Féminin"
"341" "2023" "MATHS/PC" "Féminin"
"342" "2023" "MATHS/PC" "Féminin"
"343" "2023" "MATHS/SVT" "Féminin"
"344" "2023" "MATHS/PC" "Féminin"
"345" "2023" "MATHS/PC" "Masculin"
"346" "2023" "MATHS/PC" "Masculin"
"347" "2023" "MATHS/SVT" "Masculin"
"348" "2023" "MATHS/PC" "Féminin"
"349" "2023" "MATHS/PC" "Féminin"
"350" "2023" "PC/SVT" "Féminin"
"351" "2023" "PC/SVT" "Féminin"
"352" "2023" "MATHS/PC" "Féminin"
"353" "2023" "PC/SVT" "Féminin"
"354" "2023" "MATHS/PC" "Masculin"
"355" "2023" "MATHS/PC" "Féminin"
"356" "2023" "MATHS/SVT" "Masculin"
"357" "2023" "PC/SVT" "Féminin"
"358" "2023" "MATHS/SVT" "Féminin"
"359" "2023" "MATHS/SVT" "Féminin"
"360" "2023" "PC/SVT" "Masculin"
"361" "2023" "MATHS/SVT" "Féminin"
"362" "2023" "PC/SVT" "Masculin"
"363" "2023" "MATHS/PC" "Masculin"
"364" "2023" "MATHS/SVT" "Féminin"
"365" "2023" "PC/SVT" "Masculin"
"366" "2023" "MATHS/PC" "Féminin"
"367" "2023" "MATHS/SVT" "Masculin"
"368" "2023" "PC/SVT" "Féminin"
"369" "2023" "PC/SVT" "Masculin"
"370" "2023" "MATHS/PC" "Masculin"
"371" "2023" "MATHS/PC" "Féminin"
"372" "2023" "PC/SVT" "Féminin"
"373" "2023" "PC/SVT" "Masculin"
"374" "2023" "MATHS/SVT" "Masculin"
"375" "2023" "MATHS/PC" "Féminin"
"376" "2023" "PC/SVT" "Féminin"
"377" "2023" "MATHS/SVT" "Féminin"
"378" "2023" "MATHS/SVT" "Féminin"
"379" "2023" "MATHS/SVT" "Masculin"
"380" "2023" "PC/SVT" "Masculin"
"381" "2023" "MATHS/PC" "Féminin"
"382" "2023" "MATHS/SVT" "Féminin"
"383" "2023" "PC/SVT" "Masculin"
"384" "2023" "MATHS/PC" "Masculin"
"385" "2023" "PC/SVT" "Masculin"
"386" "2023" "MATHS/PC" "Masculin"
"387" "2023" "PC/SVT" "Féminin"
