"Area" "Mean" "StdDev" "Mode" "Min" "Max" "Perim." "WIDTH" "HEIGHT" "Major" "Minor" "Angle" "Circ." "Feret" "IntDen" "Median" "Skew" "Kurt" "RawIntDen" "FeretAngle" "MinFeret" "AR" "Round" "Solidity" "Sigma" "Theta" "Width" "A" "Bgrd" "Intens" "E" "Image"
"6" 8 7230 1951.2 5328 5328 11360 10.49 4 3 4.27 2.39 146.98 0.91 5 57840 7168 1.18 0.55 57840 143.13 3 1.79 0.56 0.8 465.87 0.16 4008.78 1.56 2892.02 86238.93 "Blanc" "Img2"
"13" 5 6124.8 569.11 5520 5520 6976 7.66 3 2 3.14 2.02 161.57 1 3.61 30624 6032 0.53 -0.97 30624 146.31 2 1.55 0.64 0.91 831 0.04 4425.2 1.4 2775.4 56534.41 "Blanc" "Img2"
"14" 12 6557.33 1116.83 5408 5408 8688 19.56 6 5 4.33 3.53 28.74 0.39 6.4 78688 6288 0.94 -0.45 78688 51.34 4.92 1.22 0.82 0.57 979.26 1.14 6124.46 1.77 3652.06 120916.58 "Blanc" "Img2"
"22" 36 11522.22 7830.09 5344 5344 35808 22.38 8 7 7.23 6.34 167.76 0.9 8.25 414800 8528 1.81 2.35 414800 165.96 7 1.14 0.88 0.81 139.11 0.04 3577.03 1.24 3968.65 315595.6 "Blanc" "Img2"
"23" 6 5717.33 333.12 5792 5360 6304 8.49 3 3 3.14 2.43 135 1 3.61 34304 5792 0.85 -0.32 34304 123.69 2.83 1.29 0.77 0.8 911.81 0.14 4989.29 1.49 2709.51 63941.45 "Blanc" "Img2"
"24" 99 18493.41 16774.73 65504 5408 65504 40.53 12 13 11.79 10.69 48.98 0.76 13.15 1830848 11456 1.66 1.71 1830848 81.25 11.83 1.1 0.91 0.84 102.93 0.07 5676.16 1.28 6101.79 1651260.02 "Blanc" "Img2"
"34" 103 18808.23 17234.81 65504 5456 65504 46.18 14 12 13.53 9.69 31.91 0.61 15.62 1937248 10960 1.58 1.35 1937248 39.81 10.8 1.4 0.72 0.81 83.99 1.38 4462.57 0.61 5085.75 1042668.25 "Blanc" "Img2"
"35" 9 8346.67 2406.91 5872 5872 13712 9.66 3 3 3.39 3.39 0 1 4.24 75120 7856 1.21 0.77 75120 135 3 1 1 1 397.83 0.04 2724.67 1.08 3478.29 56110.07 "Blanc" "Img2"
"38" 26 6316.31 667.19 5696 5472 7920 25.46 7 7 6.76 4.9 58.82 0.5 8.6 164224 6160 0.7 -0.4 164224 35.54 6.01 1.38 0.72 0.68 725.42 0.29 8063.4 0.89 2678.89 207550.6 "Blanc" "Img2"
"39" 8 7764 1478.12 5904 5904 9376 9.07 3 3 3.54 2.88 135 1 4.24 62112 8672 -0.13 -1.74 62112 135 3 1.23 0.81 0.94 546.44 0.16 3702.17 1.22 3297.31 71492.06 "Blanc" "Img2"
"42" 169 12147.5 6736.16 6480 5312 33712 57.84 17 17 17.42 12.35 46.38 0.63 20.25 2052928 10064 1.28 1.11 2052928 32.91 13.72 1.41 0.71 0.82 339.99 1.04 6274.36 0.49 7213.03 721955.16 "Blanc" "Img2"
"43" 12 8285.33 2995.82 5424 5424 14112 16.14 5 4 4.23 3.62 32.18 0.58 5.83 99424 7184 0.74 -0.86 99424 30.96 4 1.17 0.86 0.73 315.05 1.3 3830.17 1.37 3111.72 125260.09 "Blanc" "Img2"
"49" 137 22425.46 18620.5 65504 5376 65504 47.6 16 14 14.68 11.88 5.32 0.76 16.12 3072288 14160 1.16 0.04 3072288 172.87 13.44 1.24 0.81 0.85 43.92 1.53 5526.39 0.53 2704.8 1627933.18 "Blanc" "Img2"
"50" 6 6450.67 485.35 5936 5936 7280 8.49 3 3 3.14 2.43 45 1 3.61 38704 6480 0.74 -0.55 38704 33.69 2.83 1.29 0.77 0.8 600.69 1.27 4340.71 0.92 2381.82 64582.44 "Blanc" "Img2"
"51" 45 9865.6 5996.84 6384 5312 32000 27.21 8 9 7.84 7.31 105.56 0.76 9.49 443952 7856 2.18 4.3 443952 108.43 8 1.07 0.93 0.82 202.31 0.04 3438.88 1.2 4751.23 240092.09 "Blanc" "Img2"
"54" 5 5923.2 379.37 5440 5440 6336 11.9 4 3 3.32 1.92 0 0.44 4.47 29616 6000 -0.22 -1.53 29616 153.43 3 1.73 0.58 0.56 402.47 0.29 40869.88 1.28 2147.41 7704587.02 "Blanc" "Img2"
"62" 136 26263.06 22566.79 65504 5312 65504 48.77 14 16 14.05 12.32 71.92 0.72 16.28 3571776 15200 0.8 -0.97 3571776 79.38 13.7 1.14 0.88 0.83 7.84 0.25 7336.81 0.83 -496.57 3060507.97 "Blanc" "Img2"
"64" 8 6962 1794.7 5696 5696 11328 10.49 4 3 3.65 2.79 34.72 0.91 4.47 55696 6464 2.11 2.77 55696 26.57 3 1.31 0.76 0.8 276.18 0.33 2847.65 0.96 3242.81 82312.96 "Blanc" "Img2"
"66" 57 12648.14 8266.96 7584 5312 38624 28.97 8 10 10.01 7.25 117.08 0.85 10.63 720944 9312 1.71 2.45 720944 131.19 8 1.38 0.72 0.87 141.75 1.37 4063.37 0.68 4902.31 493663.31 "Blanc" "Img2"
"74" 9 6984.89 1750.87 5376 5376 10640 12.73 5 3 4.3 2.66 16.85 0.7 5.39 62864 6416 1.23 0.13 62864 21.8 3 1.62 0.62 0.75 82.51 0.05 7890.58 1.33 1882.16 1228758.3 "Blanc" "Img2"
"77" 9 7267.56 2162.93 5328 5328 10176 9.9 4 3 3.92 2.92 159.7 1 4.47 65408 5760 0.36 -1.71 65408 153.43 3 1.34 0.75 0.86 370.38 1.56 1963.15 0.59 2945.66 26497.19 "Blanc" "Img2"
"79" 250 24465.54 23069.66 65504 5312 65504 80.81 19 23 19.92 15.98 87.77 0.48 24.35 6116384 11760 0.95 -0.8 6116384 109.18 18.57 1.25 0.8 0.78 981.63 1.2 5808.35 1.37 3260.01 96847.26 "Blanc" "Img2"
"86" 6 6792 1255.23 5344 5344 8512 10.49 4 3 3.41 2.24 23.42 0.69 4.47 40752 7440 0.16 -1.51 40752 26.57 3 1.53 0.66 0.67 285.91 0.05 3405.47 1.24 3944.12 138298.56 "Blanc" "Img2"
"87" 30 8053.33 3789.07 5552 5344 20816 27.8 6 9 7.12 5.36 91.21 0.49 9.49 241600 6208 1.76 2.62 241600 108.43 6 1.33 0.75 0.72 174.98 0.07 3147.4 0.67 3832.44 187574.32 "Blanc" "Img2"
"90" 6 5810.67 501.53 5360 5360 6784 12.73 5 3 4.72 1.62 154.39 0.47 5.83 34864 5744 1.4 0.59 34864 149.04 2.53 2.92 0.34 0.6 643.37 1.1 3571.1 0.35 3457.9 59248.03 "Blanc" "Img2"
