;A5;C4;B2;A3;F6;D4;E5;C3;C2;E4;F2;A2;A4;E2;B1;E3;D3;C1;D1;D2;A1;B4;F4;E1;F5;F3;C5;F1;B3;W1;W2;X1;X2;Y1;Y2;Z1;Z2
81;5;2;5;3;3;3;3;6;6;3;3;3;5;5;3;5;3;6;6;4;6;2;4;3;4;4;6;3;6;6;5;4;2;3;3;4;4
82;2;4;4;6;5;4;5;6;6;3;3;5;5;6;4;6;4;6;6;4;3;2;3;4;6;4;4;3;2;5;4;4;5;5;5;5;4
83;2;6;4;5;4;2;6;6;6;4;6;5;6;6;5;4;2;6;2;2;4;4;5;4;6;6;6;6;4;6;2;4;6;6;2;6;2
84;3;4;6;4;6;5;6;6;6;4;5;5;4;6;4;4;4;6;6;4;5;4;3;3;2;4;5;4;5;5;6;5;4;5;3;5;5
85;4;6;5;1;3;2;5;6;6;5;2;1;5;5;2;2;1;6;4;2;4;1;2;2;1;2;6;1;5;6;2;5;6;6;2;5;2
86;2;5;4;2;5;5;6;6;6;4;1;2;4;5;1;5;2;6;3;4;2;1;4;4;2;5;5;2;1;3;3;6;1;3;3;3;2
87;3;3;5;2;4;4;4;4;6;6;3;3;5;4;4;5;3;4;5;4;5;2;4;5;4;5;6;3;2;5;3;5;3;5;3;6;1
88;4;4;4;3;5;5;4;6;6;4;5;4;4;5;4;5;3;6;6;5;5;3;4;4;5;6;6;4;4;3;5;4;4;3;4;6;4
89;2;5;5;2;4;5;5;6;6;3;3;5;4;5;3;5;4;6;5;4;5;3;5;4;5;5;6;2;4;5;6;6;2;1;6;5;5
90;4;5;5;6;6;5;5;6;6;4;6;4;4;5;5;5;3;6;6;4;6;4;3;3;4;6;6;3;4;5;4;4;4;2;2;4;5
91;3;6;4;2;5;5;6;6;6;3;4;3;5;4;4;5;5;6;4;4;5;3;4;4;5;5;6;3;2;3;4;3;3;2;4;3;5
92;2;4;2;2;5;4;2;5;6;5;4;1;1;3;3;6;4;2;4;4;4;1;5;4;4;6;6;3;2;1;4;6;1;1;4;5;3
93;4;3;6;4;5;5;6;6;6;3;2;2;4;6;4;6;5;3;6;4;4;4;4;3;2;3;4;3;3;4;6;6;1;2;2;2;6
94;2;3;4;5;5;3;4;6;6;4;5;2;3;3;4;5;2;6;5;3;4;1;2;4;5;4;6;4;2;1;4;5;2;2;3;4;4
95;2;3;6;3;5;5;4;6;6;5;6;5;6;4;4;4;5;6;6;4;4;4;3;5;6;5;6;6;4;5;5;3;6;6;4;6;5
96;1;5;2;5;5;3;5;5;6;4;5;3;3;5;4;5;3;6;6;4;5;1;4;5;3;4;4;4;2;3;4;5;4;3;4;5;3
97;1;6;6;4;6;3;6;6;6;2;2;4;4;6;3;5;5;6;6;5;5;1;3;3;4;3;6;6;4;1;6;6;1;1;2;6;3
98;3;5;6;5;5;5;6;6;6;4;4;4;4;5;4;6;4;6;5;5;6;1;3;5;5;5;6;3;4;3;5;5;3;3;4;4;4
99;1;4;3;5;4;3;6;6;6;2;4;1;2;6;4;5;2;6;6;5;2;2;5;4;5;3;6;4;5;4;5;5;2;2;4;6;5
100;1;6;6;3;6;6;5;6;6;2;5;1;2;5;6;4;6;6;2;3;6;3;3;2;5;6;6;5;4;6;3;6;1;3;5;6;4
101;4;5;2;1;4;5;6;6;6;3;5;4;4;6;4;6;5;6;6;4;5;1;5;4;6;6;6;5;2;4;6;5;2;3;5;6;5
102;3;3;4;2;6;5;5;6;6;4;6;4;4;5;5;5;5;6;5;6;4;3;3;2;2;6;6;5;4;5;5;3;3;3;3;6;2
103;2;6;5;4;4;6;6;5;6;5;5;4;5;6;6;6;5;6;5;5;5;2;4;4;4;3;5;4;3;4;3;4;3;4;4;4;4
104;4;5;4;5;5;1;5;5;5;3;4;2;5;6;3;6;3;5;2;4;5;3;6;2;2;2;5;2;3;4;3;2;5;5;3;4;5
105;4;6;6;6;5;4;6;6;6;3;5;4;5;6;6;6;4;2;4;5;6;5;6;6;4;4;6;6;4;4;4;6;5;1;4;5;6
106;4;5;6;2;3;1;6;6;6;5;4;3;4;6;4;5;2;4;3;2;5;4;5;5;4;4;5;4;4;3;5;4;3;5;4;6;5
107;5;4;6;5;5;4;6;5;6;3;4;4;5;5;5;6;3;5;2;2;4;2;5;3;2;3;5;2;3;2;6;4;3;3;5;5;5
108;2;6;6;6;6;6;6;6;6;4;6;4;5;6;6;6;5;5;6;4;6;2;6;6;6;6;6;5;6;4;5;4;4;3;5;5;5
