"Groupe"	"Rendement"	"DensitePDIE"	"DensitePDIN"	"DensiteUFL"	"EnsilageHerbe"	"EnsilageMais"	"Foin"	"Fibro"	"Base"	"CLysine"	"Cmethionine"	"ApportLysine"	"ApportMethionine"	"MStotale"	"NoteIngestion"	"ETroupeauLB"	"ETroupeauTP"	"DeltaLB"	"StadeLactation"	"TPinitial"
"9725"	"temoin"	0	95	102	0.91	12.9	67.7	19.4	21.4	20.8	45.4	41.5	6.88	1.77	19.7	20	8521	31.49	1.470588235	167.0588235	33.51764706
"2009"	"methionine"	1	69	74	0.96	25	67.9	7.1	29	76.9	52.5	49	6.9	1.8	19.7	15	7325	31.89	2.561538462	191.3846154	32.7
"9922"	"temoin"	0	86	84	0.93	12.7	69.6	17.7	25.4	39.3	48.4	46.4	6.84	1.85	21.2	15	8088	31.69	1.9	124.5714286	32.35714286
"5235"	"temoin"	0	63	67	0.95	28.6	71.4	0	29	69.2	50.3	50.6	6.86	1.95	19.7	9	7483	30.39	1.94	164.15	34.685
"3860"	"methionine"	0	74	73	0.94	14.3	71.4	14.3	25	0	44.9	42.5	6.86	1.82	18.7	8	7054	30.19	2	111.6315789	32.18947368
"6629"	"temoin"	0	73	66	0.93	13.3	73.3	6.7	22.3	40.8	35.6	34.4	6.88	1.91	19.3	16	8599	31.69	3.190909091	204.6136364	33.80909091
"7846"	"methionine"	0	69	76	0.95	20	73.3	6.7	31.1	100	52.1	48.8	6.91	1.78	21.8	11	8761	31.79	1.373333333	63.33333333	31.07333333
"5652"	"temoin"	0	91	98	0.88	0	73.6	26.4	20.6	22.9	39.4	39.9	6.77	1.86	20.5	13	7321	32.59	1.764705882	198.7058824	34.8
"9790"	"methionine"	1	102	111	0.9	0	74.2	25.8	16.6	91.4	34.1	30.8	6.86	1.85	18.6	8	7140	30.99	4.055172414	221.3448276	33.17586207
"8188"	"methionine"	1	82	79	0.91	12.9	74.2	12.9	20.3	77.8	33.3	31.5	6.86	1.84	19.5	15	7082	32.59	2.8	158.4117647	31.8
"5681"	"methionine"	1	76	72	0.95	25.7	74.3	0	22.2	0	39.6	37.9	6.83	1.88	19	9	5122	30.99	2.078571429	94.28571429	27.62857143
"5495"	"temoin"	0	83	85	0.9	0	75	25	24.2	43.1	44.4	40.8	6.89	1.81	21.1	12	6671	30.39	1.790909091	172.8181818	31.77272727
"8749"	"methionine"	1	72	73	0.92	14.3	75	10.7	25.7	0	47	47	6.81	1.92	18.8	7	7149	31.69	-2.933333333	145.8888889	32.27222222
