"L" "a" "b" "Weight" "Diam" "Maturity" "Variety"
"417" 73.37 1.04 45.03 0.0489 0.042787 "3" "D"
"418" 73.81 4 45.44 0.045 0.0412 "3" "D"
"419" 70.14 4.64 40.78 0.0563 0.0456 "3" "D"
"420" 70.25 5.36 44.19 0.0494 0.043225 "3" "D"
"421" 73.6 6.14 43.98 0.0395 0.03915 "3" "D"
"422" 70.92 6.98 47.35 0.0621 0.044988 "3" "D"
"423" 69.26 1.21 40.11 0.0542 0.0444 "3" "D"
"424" 69.03 2.63 40.94 0.0466 0.042487 "3" "D"
"425" 68.03 5.03 41.58 0.0578 0.045687 "3" "D"
"426" 70.58 -0.75 38.9 0.0468 0.043575 "3" "D"
"427" 70.06 3.63 43.58 0.0648 0.045913 "3" "D"
"428" 72.76 3.15 42.87 0.0546 0.045238 "3" "D"
"429" 72.26 0.43 39.8 0.0549 0.04425 "3" "D"
"430" 71.33 2.18 43.82 0.0517 0.044062 "3" "D"
"431" 74.67 -0.09 40.07 0.0605 0.0473 "3" "D"
"432" 67.79 9.47 43.04 0.0551 0.0437 "3" "D"
"433" 70.24 5.68 42.86 0.0473 0.0438 "3" "D"
"434" 70.12 2.26 40.39 0.0594 0.045038 "3" "D"
"435" 73.54 3.31 45.64 0.0518 0.042525 "3" "D"
