"CGA" "Cafeine" "Fat" "Trigonelline" "DM" "Localisation" "PC1" "PC2" "PC3" "PC4" "PC5"
"V51" 8.5636158 1.1802695 13.5273991 0.8383983 89.0283966 3 -9.0090641909951 -8.40460251172144 21.9896938810457 -1.70316124526987 7.20101625962901
"V52" 7.5642352 1.1494745 11.2591162 0.8534402 90.0832062 2 12.2910225445291 -24.7389548373874 7.94874231285783 13.3995147871685 -1.74723725536782
"V53" 8.4221363 1.0879728 11.4184732 0.8059883 89.2449112 3 1.80595742366383 -13.3810762291867 17.3722756547766 -4.07393686896448 -3.00528924066011
"V54" 8.3156662 1.091313 14.1629419 0.8169095 90.3667984 6 -10.7177968784932 12.5829552382133 0.0169518057593901 -2.44696870463562 2.27315670786492
"V55" 8.0035677 1.0577246 12.1762428 0.6892915 89.7808838 3 -2.47034114592842 14.2728124833164 8.50581556342624 -8.89139534412117 -6.76206372965206
"V56" 7.6374183 1.0053504 13.4091902 0.8306869 90.535965 1 -20.110295770006 -7.47084245058364 4.67665825130644 7.52245856726283 4.79155466993788
"V57" 7.9146066 1.065298 12.4765272 0.6532474 90.4841156 1 -2.82329710306221 8.58741535365776 -1.37661349161832 5.23426978759687 0.479529536765432
"V58" 7.5310373 0.9630442 12.1899366 0.9047388 90.7450333 1 -24.8776775786819 -7.77953395142994 0.847341225775033 15.9394913047136 0.0360121129172921
"V59" 7.7036676 1.1303507 13.9471922 0.7468623 90.4055405 3 17.1380004330773 -0.83775904098254 -10.1751855654381 -10.9050035130398 2.46712524001223
"V60" 8.0496292 0.9872844 12.1351938 0.7338989 90.0870972 6 -10.5908817705207 7.89252703991428 5.01907825991236 -3.67966856603693 -3.9337966975424
"V61" 8.1848497 1.0618277 12.133812 0.7450905 90.2217636 2 -16.9452728213682 -7.91391502320741 5.10794913372646 0.411168003303299 -3.04514887788838
"V62" 8.4742699 0.9761443 12.5480404 0.7687026 89.8467178 6 -0.548323623814664 -0.456948449309542 10.6894830905759 1.57392854240664 0.98332947089636
"V63" 8.1257582 1.2559725 13.8383875 0.787446 90.0738602 7 -7.54798771721583 -4.86162899697645 3.20793147557096 2.12901807525595 7.2947870284317
"V64" 8.6985302 0.9403334 14.3625383 0.8088669 90.1812973 6 -14.6571237245519 -8.40893393797753 3.48355693577609 -2.6982007150824 8.9388398230971
"V65" 7.8434458 0.9881427 14.190362 0.8355547 90.0453796 6 -4.0188491425037 2.34995624078233 2.20141232856791 -3.26393965734454 5.83492532123586
"V66" 7.828907 1.1422007 13.8675146 0.8226516 90.4075928 2 -31.8624169820099 -10.2263134949301 -3.48021743828149 -1.13340970872015 1.52343731618086
"V67" 8.273737 1.2233214 12.853898 0.7736898 89.6792374 3 47.9208096199033 -19.914663206593 3.05656954155687 -11.8745375366148 3.7381079992787
"V68" 7.5950885 1.0615172 11.3562307 0.7583007 90.265564 6 -3.21342902258345 -8.46170993787467 3.55950581007786 1.94308627091084 -2.86556970416482
"V69" 8.0438719 1.0449138 12.2990341 0.683965 90.0450668 3 4.6470138316766 0.204544122678822 7.18720796670412 3.75622456059257 -0.264729444234714
"V70" 7.388104 1.071804 13.092186 0.7318318 90.3658295 1 -19.509331185461 6.18950723583751 0.885833916055475 1.69390728122297 1.32148267703085
"V71" 7.9404173 1.1865556 14.1959 0.8171073 89.7474899 1 3.47679692231968 -0.472467242309359 5.48642447106309 -8.49628211684879 3.48025358969913
"V72" 7.7689414 0.9995021 14.4117708 0.9554567 89.8377914 7 29.1928540926519 -9.74081031177814 -2.18765662939905 -10.777454768604 8.02990583065434
"V73" 7.5756326 1.1167774 11.2411356 0.8606936 90.2353821 2 -15.4117747039152 -24.0779759998824 12.140731009721 17.4671106467252 -4.04783473465066
"V74" 7.0700984 1.091845 11.3155413 0.8699979 90.5206146 1 -17.9277025702647 -2.77576676014852 3.08750244768798 16.5852324477608 -5.93786202578754
"V75" 7.0761986 0.7468683 15.0854845 1.0614761 91.3585739 7 13.6869092442427 -48.0989112754053 -27.7772024043898 -8.81796542247748 3.65767523741011
"V76" 8.1469975 1.2252223 13.564558 0.8156275 90.3273087 6 -6.18581860356402 -26.2113388832859 -0.181054926736743 1.50060099344977 2.34235910323321
"V77" 7.5133605 1.0042257 12.0916243 0.7917166 89.3968811 6 -8.86995681144461 1.11879074067959 11.3859757523867 -10.7181703056257 -5.01678640760744
"V78" 8.084096 1.2861247 15.2519341 0.8577241 91.0407639 1 -7.15190680168088 19.1169813222746 -8.69033073498848 12.7278622427962 11.683087200901
"V79" 7.1832199 1.054255 12.4234533 0.7289505 90.471817 1 16.024208181999 8.66919498149879 -0.643496519673733 1.94753074144183 -1.57519484233436
"V80" 7.8811302 1.1291766 13.87852 0.8350391 90.0187683 2 -8.02198616912868 -11.0038428947469 5.61581405465686 -1.36197128705841 3.74999890160288
"V81" 7.818109 1.1076816 12.4948483 0.8123056 89.2951508 3 7.82087651945418 -15.7694247401114 16.0621402118514 0.216193294373806 1.69475275712495
"V82" 7.6607485 0.9809533 12.852335 0.7822905 90.4235535 2 -33.5250283643571 -11.0718231014289 4.66076873014881 6.64065978988496 -1.37451162449214
"V83" 7.7838073 1.2439152 13.0448608 0.8029687 91.0994644 4 -31.1784867294962 -18.9651413841096 -17.3645733395312 3.92981800455472 -8.78350536521844
"V84" 7.4233484 0.8601859 11.7404385 0.9348963 90.9922104 1 -16.0505497149366 32.7216189875273 -2.72160797272588 14.9730557437082 -5.4171506429487
"V85" 7.9177675 1.1791584 10.4303513 0.7093531 89.2350235 3 -0.299964290107281 -22.295769364524 19.1685311927424 -2.54356499986527 -5.63423777212736
"V86" 7.7649059 1.317441 16.6450195 0.7812929 90.9142303 7 -29.936399392888 -12.7693894548644 -11.5049491052465 6.24575579224686 14.9954790854671
"V87" 7.5290127 0.954888 12.7591276 0.9012573 89.967308 6 14.0194751016633 -15.5315151529805 1.54638713991631 -5.18901620006511 1.47306431578265
"V88" 8.2272348 0.9543467 11.7083807 0.8080682 89.8910446 6 34.7335393066262 11.1701679956552 2.84528262096148 -0.607063746273813 -0.742191912162922
"V89" 8.7762728 1.5242202 15.1838074 0.8829793 90.7796249 7 -0.604090589955243 21.9500174715238 -18.1945615842209 8.8927538385592 11.0416416433351
"V90" 7.6504369 1.0255998 13.0988111 0.7685795 89.9070435 6 5.73548119464051 -7.85638343974325 2.43591151105112 -2.30108105696877 0.828011740433991
"V91" 7.732512 0.9943413 12.5252047 0.7693077 89.7623672 1 24.3476037774096 19.1579009892329 6.25930259910987 -5.58529861534667 -0.324326505544371
"V92" 8.172883 1.1776079 15.27771 0.9045537 90.8043213 7 14.0528717145482 31.2210407560169 -16.6189814970358 0.664016011904369 14.0812656921156
"V93" 7.5159922 1.0070347 12.2922983 0.7763614 90.5634232 1 -1.45383197441578 11.0161004914871 -2.48855443900719 -2.1522079389901 -5.16272944228492
"V94" 8.0383167 1.0914034 11.9657955 0.7795304 90.4465485 2 19.8539165260297 -7.02210585536597 -4.64470153407061 2.67528034720082 -2.55084539207281
"V95" 8.5022278 1.062796 13.6118202 0.8071554 90.1545486 2 -1.61449032209465 -20.3512817247209 4.31123551073687 7.27323825286725 7.72373195861662
"V96" 7.8974986 1.0019436 12.987669 0.8604805 90.1378479 6 16.5507711813152 21.6408576370498 -1.35355971594083 -2.1911832811917 0.040816041714888
"V97" 7.9246826 1.0836769 12.5969515 0.7280269 90.1362534 3 8.14176703866472 0.74274770947443 4.20180782423393 3.44808651332339 -1.75814475529858
"V98" 7.847652 1.122316 12.5020323 0.752083 88.9860687 3 13.9386292188171 -1.26910624841016 17.0736012968442 -4.66754459337867 0.502752114818258
"V99" 7.6501493 1.0215473 13.3110819 0.8097805 89.590477 6 -10.015715254124 -9.68484174868056 8.84441599216756 -9.29763378252285 -0.183322456235901
"V100" 7.936326 1.0171413 12.1116018 0.7854047 89.4896851 1 5.8109120354955 1.30924499444256 13.7202557010943 0.993360955171748 2.43737690205363
"V101" 7.7930932 1.2906941 11.9749441 0.7763135 89.8139725 3 -14.5414774988475 -6.39687507070729 7.93922442826139 -0.96134695002633 -3.79163015481
"V102" 7.8297048 1.1671666 15.6974049 1.0105131 91.0795441 7 -8.94791416747766 16.2851888641574 -22.3576131205209 5.55884818784136 12.1279042194744
"V103" 7.8154907 1.0023993 15.0286074 0.936816 89.7252274 6 -18.4677058761424 -24.9182832725289 1.96508457300557 -12.363269672984 7.96503601014124
"V104" 7.7138171 1.3083552 10.372509 0.6968059 90.2356949 5 31.5504379814744 -1.89946523371719 -6.4736771339607 -1.1576327634915 -12.794435177058
"V105" 7.6569366 1.1502054 11.9385214 0.7674528 90.0562668 1 3.25870275699892 1.0573904860894 5.65474615384807 -0.562738496019528 -6.47074619089234
"V106" 8.1785688 1.1403432 13.1738701 0.8085439 90.0764923 7 -3.95978617960473 5.50567643925208 -1.56063924617352 -4.54686772431915 2.50188263088162
"V107" 7.7312474 1.139478 12.9376974 0.8439056 89.464386 1 33.38136965135 31.6611206941757 11.3565957126595 0.863695197351549 7.79267995317739
"V108" 8.2354393 0.9864678 12.2574749 0.777824 89.8318863 6 14.0700008437125 10.6541271398499 4.63860776160555 -6.29590743617673 -3.80937269022942
"V109" 8.1854095 1.2165029 12.3695917 0.8128381 89.8321838 6 43.626368006864 -10.1567386688101 2.42863154432371 5.70169596830223 4.4031265102008
"V110" 7.7164297 0.9929563 12.4880552 0.8069806 89.7808609 6 5.99695217910327 -21.8880294901361 8.23595021020659 -4.8037693715889 0.35794148167058
"V111" 7.665267 0.9499397 13.9859524 0.8630098 90.5741272 1 -22.8877610651832 15.9456988545833 6.33695804133499 13.2136342726974 9.44988752446513
"V112" 7.8136573 1.1270186 11.6814852 0.8773376 89.7362137 6 36.7589472391107 -13.0740527167453 7.70110868537908 13.5627951262541 2.69846797823778
"V113" 7.9398818 0.9276201 12.8315058 0.7119148 89.4703522 6 14.0626764655666 -0.935375192022994 10.4315879817574 -7.87386580893362 1.53195063508513
"V114" 8.2489176 0.8630098 13.736557 0.826162 90.3092117 6 -47.7857530402596 -13.1214007556036 1.75177030837673 -14.4902728451315 -0.661687249126209
"V115" 7.9093494 0.9828519 14.2660437 0.7826465 90.6264114 6 7.2548460728481 24.4512397794111 -11.8416268152684 -6.85015906914483 5.08872404066693
"V116" 7.9460907 1.1216382 12.4355183 0.8129233 90.065773 2 1.07193651536087 -17.2873968710549 6.69535769563528 5.95932027393574 -0.402881266470016
"V117" 8.4804058 1.1275574 13.1998482 0.8379133 89.5891495 6 15.0994190419265 -7.19468274362007 5.10873066359665 -9.71059407414169 1.37567822912909
"V118" 8.2320251 1.2553507 13.5944223 0.8211019 89.3868332 1 37.9029175063522 -16.8211722163467 10.7499641515758 -0.62257490303396 8.67693678747434
"V119" 7.8671684 1.0610189 14.4415808 0.8230807 90.1235199 6 -39.648589111311 -12.604096598628 -4.46244153329147 -16.9879565276793 3.6353026173793
"V120" 7.5223899 1.2302158 12.5171366 0.796191 91.8794022 4 29.5370815588741 -30.9630371501889 -24.3990057180674 28.9714895440873 0.935440267761526
"V121" 8.0965881 1.0225363 13.8775225 0.8039476 90.1682358 6 14.2603921644959 16.5260010427949 -4.59301888631667 -8.50975676090557 8.41954083663992
"V122" 7.6150947 1.2923938 14.6105862 0.7998177 90.9206238 4 -23.9961540614629 -9.5017031023487 -27.799948997134 -13.0881330518678 -7.07696363680416
"V123" 7.9407463 1.086778 11.2889557 0.8533524 90.0704041 6 -0.170564760345265 -1.39735583036447 6.33397976076538 5.9674368025138 -4.21417512487887
"V124" 7.548635 1.1871674 13.0093307 0.7542203 90.7373199 1 -0.253149593336934 1.5613561909585 -1.07770163978237 15.9579997060545 8.45364804247977
"V125" 7.7943764 0.9670348 13.9727221 0.8077571 90.1168747 6 2.25489213663153 30.5539477313037 -3.23967168862561 -10.8061925141217 6.13724933885285
"V126" 7.7715378 1.2037743 11.2886305 0.7221552 90.568718 5 13.011103468028 -12.5235319954674 -7.91226710364437 6.33914652890133 -9.9376030623308
"V127" 7.6544104 1.1328635 11.6253166 0.8185703 89.2395401 3 -0.476704554367504 -4.95396403535401 19.9223965220964 4.19911704432697 -1.55009288702334
"V128" 7.4599705 0.9044073 11.8735056 0.9108258 90.6789246 1 16.192032280229 26.4517837118195 -2.81189526544965 12.4814841077862 0.761445117264882
"V129" 8.1912203 0.974588 14.399889 0.8523767 90.1965714 6 -24.1713060204484 -0.732836333460804 -1.4394825780654 -9.79158492347115 2.50396205541054
"V130" 7.785676 1.0302736 13.6791487 0.906469 90.5548782 1 -7.76874748638963 10.2151663107601 1.18173079548764 13.4333288652594 7.95269242101856
"V131" 7.7026067 1.4291236 14.3942661 0.7000633 90.4832153 5 -19.9829564229274 6.9200129686512 -18.3614586941649 -8.66642278899415 -1.60904727989627
"V132" 8.2152405 1.290446 13.6188221 0.8075259 89.5727921 6 35.5534680911947 -28.9442824069476 3.20080530587115 1.52043858058818 6.05642533079437
"V133" 8.0060043 0.9937663 14.5581989 0.8457751 89.8153763 6 13.7228647052207 17.8300216989621 -2.43211756478508 -14.2652958578988 8.15701628187794
"V134" 8.1393738 1.1143374 14.6485672 0.7803568 89.6629639 6 24.0384567627759 -15.1579638546104 -3.32257236147693 -15.6596662362679 8.18652187335874
"V135" 7.9571133 1.1287544 12.0642176 0.8239619 89.9016876 2 2.43698690628565 5.32096008692672 6.53505925959648 -4.57626400108616 -6.28241914020542
"V136" 7.8908677 1.2357231 11.3940287 0.7189058 89.6849289 3 -4.69017028216363 0.970525607857705 14.3074988094174 3.57821030084136 -4.4031635710513
"V137" 7.9957275 0.9927951 13.3710747 0.8031616 89.873497 6 14.6549559601991 11.9980706478782 3.01086008166082 -8.54607193753883 2.30877832155782
"V138" 7.8266387 0.9902195 12.4793949 0.7404637 89.8349686 6 24.5843277654484 26.1535580845894 7.94397600054846 -1.92257320309203 2.26464632259197
"V139" 7.7074122 1.3120993 7.5919394 0.7118456 89.8515244 5 63.3894734781503 -9.79440960382501 1.85639873402555 12.8471439167183 -17.1272751403633
"V140" 7.9010515 1.1479994 14.7888107 0.8359291 90.0750809 1 -0.522180581072805 5.2334874411352 2.29377119612381 3.17065308020228 12.4976607673078
"V141" 8.2906017 1.0777041 14.7351465 0.9136751 90.5344086 7 13.6915685162857 39.6775754573549 -17.510298129306 -7.80695957626899 7.5597044062178
"V142" 8.2222624 1.1943529 13.3402224 0.8498363 89.7621994 6 34.9034552732045 -8.97991092315076 1.87375089774994 0.449049340181312 4.94463158957217
"V143" 7.8474717 1.3434759 10.9919586 0.7500123 89.6972351 5 16.243637103403 16.5388285143764 4.32456219885872 0.274191773214302 -7.13382113570292
"V144" 7.7672157 1.286038 12.9631758 0.7855477 90.4821091 4 7.50120508649502 -11.9249908470796 -15.0006453595468 -6.57187716271341 -7.18276256622293
"V145" 8.3847103 1.0643719 14.9746876 0.815091 89.8327484 6 12.0764663513778 -5.26078849373824 0.713282461685058 -11.2733977947216 8.89278602883862
"V146" 7.9895058 1.1322329 15.2943172 0.8290713 89.5989151 6 8.66108781466554 4.45560022513307 -0.0768814003344567 -15.5427199841693 13.4067616425635
"V147" 7.9994979 1.0730761 12.7708149 0.7965344 89.8493195 2 -1.86913677397047 -8.01923937189109 8.37867690468749 3.16757609763033 2.49996663129867
"V148" 7.9475522 1.1565089 12.22997 0.7953165 91.3197403 4 8.41822001510797 9.15751471528531 -21.3712231263566 7.86494241685327 -8.3514176062443
"V149" 7.9766059 0.9827653 13.2093458 0.816458 89.9351273 1 -29.1340861983603 5.77201597584621 10.0262770920672 -1.54960880262244 2.02376056525318
"V150" 7.672822 1.0740941 14.4456587 0.842087 89.8504791 1 0.792102635205124 10.521994430392 5.78332088494928 -1.48693446720436 18.7138130903562
"V151" 7.7987933 1.0047895 12.9680815 0.7623343 89.4004364 6 18.9021203303545 29.7012509249401 10.8997342476212 -6.12705428302292 4.61985499696757
"V152" 8.0114126 0.9885262 12.7946606 0.8419432 89.6857834 6 -12.3285627557975 2.45199466021474 11.6548123500182 1.60121550905502 2.83329555263274
"V153" 8.0028572 1.2343844 15.0742035 0.9386398 90.3112946 7 -37.5982744989998 -21.3278480858351 -0.887429116782141 2.95277144563806 11.8069708663371
"V154" 7.5786343 0.9988011 14.7025375 0.8561624 90.0916443 1 -11.2106823091629 -10.4313263968613 6.64778893051329 0.206180281818809 10.8733206548078
"V155" 8.1011324 1.2646447 12.9964342 0.8433932 90.2730865 2 -10.5396109628378 -18.362094798865 3.22861732283345 8.25024469926812 -0.89410004893628
"V156" 8.4497871 1.1659688 14.2438498 0.9274505 88.5722275 7 24.381378423514 31.4450053220661 15.4346695499319 -13.2574696598528 9.34563125876832
"V157" 8.012701 1.1674558 10.6426773 0.8370188 89.2260971 3 -5.12012779520562 -10.9623900104768 25.6918638983526 11.1335180370319 -1.89461972818406
"V158" 7.3574514 1.0792115 14.2712526 0.8473272 89.9576111 1 -14.0057478574083 12.5456774199803 2.54995377865032 -1.6979757255639 7.85620710805851
"V159" 8.5052929 1.012552 13.4794245 0.883009 89.5313339 6 -11.2957242191257 0.191854585607225 11.6723824876332 -2.28449788338174 5.29190325711156
"V160" 8.4786148 1.4118981 10.8315039 0.6909657 89.9175415 5 -0.785119867972502 -5.58064570330553 -1.15159830219575 1.85013605017033 -11.9624265137034
"V161" 8.0323725 0.9868571 12.8774662 0.785718 89.7905273 1 33.3511539945055 23.735729301381 5.48497071986757 0.56421263961986 4.59281758549867
"V162" 7.4889836 1.0302031 12.1983938 0.7685985 90.0006256 1 -2.14954847201785 30.0196622382981 11.2390822218501 9.90876342218784 6.45753957592133
"V163" 8.0460215 0.9374484 14.2761459 0.8550122 90.348465 6 9.81983538496011 -6.71533742161845 -4.04343393022549 -0.844840471937 6.81142975765916
"V164" 7.9819226 1.117501 13.8542576 0.7978498 90.5629883 2 -0.464485029628134 -14.0484331050286 -12.5829806919205 -12.1966756130627 -3.18308889748231
"V165" 7.6953869 1.1455439 11.1926107 0.7721418 91.6918488 4 -8.51932111921822 2.01650279370289 -28.3159437941275 6.97829362216619 -13.9013879046896
"V166" 7.8677678 0.9995903 13.3316097 0.8131727 90.2608414 6 11.8230124188012 8.10956758996634 -10.2010815839761 -13.5478547595206 1.56403158602829
"V167" 7.9404168 1.1239674 13.3851271 0.8127066 90.3601608 2 0.538661558175657 -23.0161953745615 0.572744366782962 0.451041419187884 7.8675454052864
"V168" 7.7715163 1.0296016 13.472023 0.8171603 89.8305359 1 10.3964503297255 9.39719983967338 12.7390645938214 12.2955144489069 8.22989103752999
"V169" 8.105341 1.0539839 12.3887701 0.745571 90.4766159 1 1.51340394463667 2.14629761065485 2.78750695339963 9.62528516893192 4.59421936664538
"V170" 8.4742527 1.1471099 13.2197227 0.7768968 90.3311691 6 -10.6360308117512 -5.56820074734769 1.18731872325418 -2.81610546314928 2.77193349077348
"V171" 7.8686261 1.0507765 12.5076141 0.690479 89.8424606 6 -29.8245892012912 -32.7823885608513 2.72793528949471 -18.2885282805126 -8.57464203696647
"V172" 8.2870712 1.2691755 8.8406754 0.7786872 89.1171799 5 45.9300451883249 -4.93542467635836 14.8519637883739 7.99005504368868 -9.36745611327193
"V173" 7.7602487 1.1478354 12.4587946 0.7443216 91.1983719 4 -25.3547683263284 -14.1066732945115 -16.046668648786 10.1034010686856 -7.20234593478837
"V174" 8.3055887 1.0363801 13.284297 0.7161127 90.6043625 1 0.439987970963026 25.1579550250708 -3.40635110986948 0.0618862211967781 3.45764863691427
"V175" 7.9513307 1.1094806 10.6435671 0.8483737 89.6363754 3 0.223452822209181 10.3930589996203 17.7837640201518 4.64139479407273 -9.20891093399469
"V176" 8.1555405 1.2064065 14.5895262 0.9796509 90.4184647 7 21.9522130472354 46.8846763766292 -18.6901955826416 -7.78358115495115 8.20590859456605
