"GENOTYPE" "SEX" "SplitFat" "SplitMuscle" "LV23Fat" "LR23Fat" "LR23Muscle" "LR34Fat" "LR34Muscle" "LMP"
"74" "P50" "M" 13.31 64.775 12.375 10.175 63.45 10.28 62.575 81.23512239
"75" "P0" "F" 7.395 71.085 9.035 7.725 53.305 9.17 51.45 88.69546152
"76" "P50" "M" 14.76 82.235 14.78 13 72.96 14.64 72.56 81.66666667
"77" "P0" "F" 13.17 86.015 13.665 7.63 67.94 9.16 64.095 85.32667499
"78" "P0" "F" 15.92 70.44 16.65 12.575 67.15 14.18 62.92 79.43964609
"79" "P0" "M" 16.5 78.02 19.785 17.545 60.69 19.075 60.47 78.16873538
"80" "P50" "F" 13.2 74.925 12.49 8.14 67.86 10.155 66.195 84.9897583
"81" "P50" "M" 17.095 71.305 14.125 12.25 64.035 12.59 64.5 79.97242466
"82" "P0" "M" 17.4 70.805 25.7 18.355 56.885 18.19 57.21 77.30259575
"83" "P50" "F" 7.885 69.165 12.285 9.415 59.105 9.42 60.47 85.9982862
"84" "P50" "F" 16.465 77.535 16.885 13.895 62.095 14.64 58.33 80.04154549
"85" "P50" "F" 13.53 78.89 13.95 10.83 75.645 10.885 69.145 85.59410739
"86" "P0" "M" 13.12 72.055 18.03 14.54 64.805 16.03 60.735 82.19388712
"87" "P50" "F" 17.085 77.115 19.085 10.965 68.25 11.565 67.135 82.57528557
"88" "P0" "M" 19.91 74.855 22.825 17.645 58.735 17.765 56.44 76.21709194
"89" "P0" "F" 12.46 78.92 12.47 10.555 60.4 12.125 60.88 83.70424067
"90" "P0" "F" 11.13 63.965 14.14 10.95 55.97 11.71 54.58 81.68139588
"91" "P25" "F" 8.31 77.93 13.33 8.75 69.72 9.285 68.335 86.61047562
"92" "P50" "F" 11.43 75.84 14.86 11.87 73.435 13.69 69.555 81.49040271
"93" "P25" "M" 16.95 74.34 16.55 13.6 65.97 13.69 65.31 80.68759342
"94" "P25" "F" 12.76 78.77 15.335 10.555 62.81 11.36 63.72 82.0485397
"95" "P0" "M" 19.115 72.98 17.665 16.775 68.17 17 67.425 77.72263358
"96" "P50" "M" 22.24 62.2 22.685 19.27 54.085 22.47 52.29 75.33033033
"98" "P0" "F" 17.225 71.805 20.35 11.465 58.685 12.58 60.6 80.36606967
"99" "P50" "F" 16.24 66.11 18.02 16.3 64.995 18.79 62.485 80.49486106
"100" "P50" "F" 13.165 75.3 13.89 9.895 66.91 11.55 63.67 82.76088743
"101" "P50" "F" 14.425 68.595 12.625 9.96 66.07 11.505 65.115 83.125
"102" "P50" "F" 9.2 74.59 13.095 8.455 61.98 9.89 56.97 86.70844084
"103" "P25" "F" 12.08 73.89 16.495 9.925 58.285 11.29 53.18 82.58631782
"104" "P0" "F" 14.945 78.515 13.69 12.065 65.875 13.38 63.185 81.50039277
"105" "P50" "M" 12.725 63.95 16.86 11.985 60.695 11.685 57.285 79.68109339
"106" "P50" "F" 20.115 74.695 14.15 11.475 62.135 12.855 58.03 80.36986568
"107" "P25" "M" 15.755 74.82 18.33 13.825 59.205 14.505 63.02 81.30352406
"108" "P25" "M" 20.49 76.535 25.2 20.3 65.71 22.15 66.795 77.27863248
"109" "P0" "M" 13.89 75.32 18.78 13.1 64.875 16.62 60.705 82.66218844
"110" "P0" "F" 10.23 78.875 14.22 10.49 62.815 10.585 60.13 83.86004944
"111" "P0" "F" 9.58 74.115 14.195 10.135 53.81 10.46 55.505 84.19161677
"112" "P50" "M" 10.72 70.4 13.575 9.925 62.28 11.02 56.7 85.53048667
"113" "P50" "F" 10.28 77.26 10.34 6.575 59.64 8.965 56.705 87.56370139
"114" "P0" "F" 15.22 80.155 14.195 9.91 64.755 11.28 60.23 83.42342342
"115" "P0" "M" 15.33 70.615 14.665 12.135 62.285 14.135 56.62 83.15880571
"116" "P0" "M" 22.385 63.28 25.265 15.105 52.855 16.18 53.505 74.69316445
"117" "P0" "M" 16.885 65.315 21.47 16.73 56.8 18.12 56.795 76.64494508
"118" "P50" "F" 19.53 74.09 15.655 10.28 72.96 11.185 71.565 81.98337051
"119" "P50" "M" 18.8 75.665 17.895 13.83 68.895 17.05 61.86 76.91854036
"120" "P0" "M" 16.765 74.87 16.73 13.65 69.445 13.68 67.895 80.4709689
"121" "P0" "F" 7.29 70.25 8.9 6.315 60.875 6.715 55.115 87.97819388
"122" "P0" "M" 11.245 67.43 15.66 15.045 46.025 15.675 48.105 81.2764244
"123" "P50" "M" 17.585 77.445 19.38 15.03 68.285 16.705 67.405 80.51849028
"124" "P0" "M" 14.665 65.055 19.415 13.91 56.595 14.225 55.88 78.50356779
"125" "P50" "F" 12.04 76.11 14.985 10.555 67.98 10.86 64.535 81.74681906
"126" "P0" "M" 11.225 68.025 12.205 9.715 65.215 10.375 65.34 83.79925342
"127" "P50" "F" 12.72 79.315 11.455 7.735 62.265 8.405 65.27 83.93175957
"128" "P50" "M" 15.91 71.275 13.7 9.64 65.67 10.57 67.9 83.02568218
"129" "P50" "F" 9.64 88.87 12.805 10.04 73.47 10.41 71.095 86.91082219
"130" "P50" "M" 21.95 68.465 18.725 17.85 57.735 19.67 57.865 74.57204981
"131" "P0" "M" 18.935 73.05 28.225 20.28 57.055 20.185 60.45 74.02029664
"132" "P50" "F" 13.965 70.84 11.865 8.21 63.85 7.435 59.575 84.48960739
"133" "P25" "M" 23.89 66.54 22.565 16.03 63.355 17.265 60.935 77.19642857
"134" "P50" "M" 19.04 75.37 19.085 13.8 65.23 13.71 62.87 80.03282874
"135" "P50" "F" 9.675 76.45 11.495 7.11 68.485 8.575 69.59 86.11656843
"136" "P50" "F" 13.53 68.34 16.53 11.865 66.095 13.64 65.7 81.6638796
"137" "P50" "M" 20.825 66.64 20.42 14.825 66.995 16.375 66.415 78.7953668
"138" "P50" "M" 14.365 79.62 13.595 10.365 70.71 11.865 69.155 83.12326742
"139" "P50" "F" 13.68 75.75 14.445 12.905 78.065 14.585 79.225 83.32137733
"140" "P25" "M" 16.03 63.695 15.48 14.415 57.335 14.865 58.88 78.69881522
"141" "P25" "F" 10.935 76.935 13.385 9.935 63.495 10.45 64.03 85.35748332
"142" "P0" "M" 22.54 78.775 25.11 20.57 66.22 24.63 64.24 75.1130036
"143" "P0" "M" 24.415 73.435 24.895 21.63 64.74 22.675 65.36 73.25227964
"144" "P0" "M" 22.635 69.08 23.895 19.67 64.35 21.235 66.63 75.52194211
"145" "P50" "M" 21.235 66.53 16.785 15.135 57.66 16.535 56.895 76.17669459
"146" "P50" "F" 15.87 72.645 17.23 12.515 62.34 14.045 61.315 80.74960128
"147" "P50" "M" 23.4 63.635 15.79 13.14 64.705 14.235 61.435 78.75394322
"148" "P0" "M" 13.475 77.825 16.435 12.565 59.435 13.835 61.205 80.33642034
"149" "P50" "M" 11.065 60.3 13.02 11.005 57.69 11.65 54.095 83.41501061
"150" "P0" "M" 12.945 70.94 23.085 15.11 57.115 16.81 55.305 78.46688382
"151" "P0" "M" 17.88 74.765 15.535 12.995 62.095 13.47 62.98 81.25212947
"152" "P50" "F" 14.79 60.17 10.55 7.605 55.235 8.38 54.155 81.97272727
"153" "P50" "M" 8.945 68.885 11.075 8.68 59.16 10.845 56.11 83.93619143
"154" "P50" "F" 18.165 81.85 19.27 12.19 61.78 13.63 61.025 81.51757188
"155" "P50" "F" 16.545 81.635 15.305 10.28 65.305 11.765 61.305 83.74193548
"156" "P50" "M" 12.34 67.685 13.04 8.855 62.29 10.84 63.52 82.933213
"157" "P50" "M" 15.965 64.76 15.745 12.635 66.195 13.72 62.53 80.43270151
"158" "P25" "F" 15.845 80.94 16.26 9.87 69.295 12.055 70.155 84.04770779
"159" "P25" "M" 11.79 87.39 17.53 11.93 65.46 13.94 67.28 82.06278027
"160" "P25" "M" 9.34 72.115 13.605 9.33 61.545 10.85 60.135 83.48301445
"161" "P25" "M" 12.53 67.42 15.255 10.25 58.21 10.885 58.96 81.15166261
"162" "P50" "M" 18.065 72.405 19.975 13.145 59.655 12.965 58.57 79.06907545
"163" "P25" "M" 19.41 73.57 25.915 22.55 61.69 22.03 57.12 73.37780248
"164" "P25" "F" 5.74 75.77 10.625 6.95 69.86 8.06 67.72 88.28358209
"165" "P25" "F" 12.67 74.02 16.605 12.64 64.3 12.635 65.7 81.29996524
"166" "P25" "M" 19.26 68.625 18.905 13.475 62.895 15.62 62.755 78.65245527
"167" "P25" "F" 17.645 69.945 17.45 13.61 67.085 13.245 64.635 78.4503632
"168" "P25" "F" 19.4 69.345 15.47 12.915 68.41 13.94 65.705 80.91629349
"169" "P25" "F" 11.12 83.285 18.255 13.595 66.725 15.81 60.58 82.32108984
"170" "P25" "F" 14.26 65.66 13.91 12.6 59.335 13.26 58.2 80.58848256
"171" "P25" "M" 11.39 65.175 13 9.97 57.04 11.065 58.21 85.08565072
"172" "P25" "F" 14.53 83.45 22.305 15.65 71.775 17.83 66.295 79.40092166
"173" "P25" "F" 17.78 77.265 19.905 13.315 71.245 14.06 69.365 80.71005917
"174" "P50" "M" 16.65 74.62 18.065 13.835 68.12 13.555 62.545 82.79030911
"175" "P50" "M" 22.625 73.29 18.85 15.155 65.945 16.185 64.63 76.19554504
"176" "P50" "M" 14.47 67.42 16.1 13.085 65.96 13.95 64.575 80.02679426
"178" "P25" "F" 15.58 74.785 19.125 14.375 66.915 15.29 67.755 80.06299796
"179" "P25" "F" 13.525 69.385 14.615 9.41 62.235 9.61 58.155 81.96396032
"180" "P25" "M" 18.225 77.38 20.82 16.53 58.83 18.71 58.44 78.22029822
"181" "P25" "F" 10.25 76.63 12.9 9.93 66.135 10.6 67.235 83.81982621
"182" "P0" "F" 12.205 70.32 16.405 10.78 61.285 10.365 52.045 82.5638727
"183" "P0" "M" 22.42 63.52 23.83 18.98 60.885 17.55 58.84 70.76780071
"184" "P25" "M" 18.87 70.06 19.1 15.77 61.89 15.91 58.99 76.07250755
"185" "P25" "F" 11.76 80.435 12.44 10.99 65.01 11.26 63.4 82.79169093
"186" "P25" "F" 13.17 65.265 15.03 13.985 52.755 15.02 50.045 78.0233326
"187" "P25" "M" 19.265 66.495 18.34 17.07 56.33 18.31 55.1 75.8056872
"188" "P25" "F" 9.595 76.625 14.27 7.49 63.81 8.745 59.755 85.5566905
"189" "P25" "F" 8.97 77.025 13.115 9.015 71.815 9.46 67.73 84.43602238
"190" "P25" "M" 12.21 84.255 12.7 10.62 70.07 10.6 65.825 82.74704311
"191" "P25" "F" 13.625 74.62 17 10.92 63.43 12.26 64.17 82.0066335
"192" "P25" "M" 14.335 72.535 17.495 13.545 58.125 14.245 57.67 79.07575438
"193" "P25" "M" 12.855 64.025 14.54 12.19 62.9 13.65 57.215 81.59595173
"194" "P25" "F" 12.685 68.545 16.695 14.38 62.995 15.29 60.445 79.38291139
"195" "P0" "F" 14.045 78.76 16.34 11.78 64.775 13.905 62.005 81.20966184
"196" "P25" "F" 15.095 75.515 14.675 12.645 65.42 12.815 66.04 82.46098004
"197" "P25" "F" 11.345 85.58 14.945 10.6 72.64 9.745 71.14 83.18994512
"198" "P25" "M" 18.935 72.685 20.335 15.445 67.41 14.34 69.025 78.56972586
"199" "P25" "F" 19.14 80.89 20.315 15.2 70.005 14.245 68.715 77.10735243
"200" "P25" "M" 12.48 66.885 15.16 12.08 59.485 13.34 56.065 79.4979393
"201" "P25" "F" 12.38 71.76 13.435 9.05 66.87 9.285 63.09 84.8381877
"202" "P25" "M" 10.76 84.92 12.345 10.53 62.245 10.345 55.725 84.17582418
"203" "P0" "F" 12.615 69.965 16.04 11.14 65.7 13.54 58.225 80.15008659
"204" "P0" "F" 11.325 73.42 15.675 9.745 57.425 10.895 57.175 83.63259669
"205" "P25" "M" 15.62 68.185 19.195 14.315 65.59 14.01 60.53 80.2173913
"206" "P25" "F" 16.13 72.75 19.93 18.6 64.965 19.72 60.275 75.06027821
"207" "P25" "F" 13.335 72.345 15.685 12.09 61.175 13.815 58.09 81.38067061
"208" "P25" "M" 20.755 74.75 23.135 15.995 63.215 17.775 61.755 76.17397715
"209" "P25" "F" 8.365 75.255 11.805 6.415 68.78 8.9 62.93 87.18685832
"210" "P25" "M" 11.64 74.105 14.425 10.68 60.2 10.84 59.635 80.98087483
"211" "P25" "F" 5.255 74.62 9.16 6.38 67.59 7.005 67.295 87.06073166
"212" "P25" "M" 14.91 77.695 19.84 17.46 65.755 18.455 64.705 80.56643357
"213" "P25" "F" 16.215 69.73 16.525 11.72 63.25 13.035 60.84 80.74282273
"214" "P25" "M" 10.755 65.05 15.16 11.815 63.225 11.975 62.65 80.32683599
"215" "P25" "F" 16.98 80.16 13.28 10.73 68.13 12.355 68.985 83.02897758
"216" "P25" "F" 13.15 74.245 15.06 10.78 64.665 11.585 61.37 82.83394235
"217" "P25" "F" 14.4 64.825 14.88 11.445 64.28 11.835 63.51 79.54656174
"218" "P25" "M" 19.88 76.785 26.14 19.39 51.72 19.305 49.84 73.28881469
"219" "P0" "F" 14.275 73.845 19.565 13.255 61.88 12.875 62.615 80.6749285
"220" "P25" "F" 12.295 75.26 15.235 11.255 64.33 13.43 59.71 82.76820456
"221" "P25" "M" 19.18 64.175 22.86 17.37 52.945 17.275 52.1 74.52974671
"222" "P25" "M" 16.72 80.895 12.97 12.45 67.925 12.035 69.56 82.45558626
"223" "P25" "F" 7.39 82.95 13.52 8.425 68.855 10.17 63.67 86.41769398
"224" "P25" "M" 12.14 64.7 14.46 11.035 60.995 12.865 63.32 81.71006766
"225" "P25" "M" 14.475 79.425 20.38 14.995 65.715 15.085 64.175 79.51789627
"226" "P25" "M" 20.71 73.825 16.49 13.29 63.78 14.24 64.175 80.09964413
"227" "P25" "F" 11.1 78.585 12.845 8.585 73.96 9.385 72.395 85.56555497
"228" "P25" "M" 14.54 80.495 26.695 16.75 66.51 17.865 68.65 77.61871013
