"GENOTYPE" "SEX" "SplitFat" "SplitMuscle" "LV23Fat" "LR23Fat" "LR23Muscle" "LR34Fat" "LR34Muscle" "LMP"
"313" "P50" "M" 18.935 59.735 19.59 15.265 60.995 12.905 64.1 79.01841391
"314" "P50" "M" 19.635 70.6 21.96 18.12 59.13 17.465 60.33 75.64141491
"315" "P50" "F" 17.675 78.515 17.72 16.595 65.425 18.25 65.67 79.4674195
"316" "P50" "M" 13.395 75.785 17.43 13.215 65.65 14.205 59.405 81.73269616
"317" "P50" "F" 17.315 71.555 15.23 10.74 52.895 11.705 53.25 79.66115369
"318" "P50" "M" 16.155 71.02 15.66 11.95 58.52 12.185 59.225 82.91709886
"319" "P50" "M" 12.51 81.255 14.955 13.995 67.83 14.2 62.48 81.78873758
"320" "P50" "F" 11.92 77.09 13.47 11.12 60.89 12.515 58.705 83.82908404
"321" "P50" "M" 15.735 74.115 19.27 15.065 66.215 17.14 65.755 80.28553096
"322" "P50" "F" 8.46 87.48 9.62 6.525 70.445 7.2 69.06 88.1469375
"323" "P50" "M" 13.855 69.705 14.16 10.99 64.09 10.965 62.335 81.69188787
"324" "P50" "M" 21.51 74.545 18.515 14.905 69.105 16.94 64.51 77.6146789
"325" "P25" "F" 16.41 75.865 16.22 10.615 70.415 11.95 64.44 80.73938841
"326" "P25" "M" 14.225 69.98 18.075 15.745 57.645 16.01 60.52 79.59234402
"327" "P50" "M" 22.81 72.24 27.535 19.71 65.41 21.335 63.955 75.63424947
"328" "P50" "F" 21.325 70.77 19.975 15.98 60.12 15.13 57.57 77.943187
"329" "P50" "M" 16.01 67.475 16.835 11.575 66.8 12.505 65.955 82.8243073
"330" "P50" "F" 9.99 72.895 12.68 9.06 74.22 8.36 70.14 86.64753917
"331" "P25" "F" 12.34 76.16 15.57 8.975 75.515 9.335 71.825 82.90151335
"332" "P50" "M" 11.42 75.79 17.12 15.355 65.805 14.4 61.92 79.95349851
"333" "P50" "F" 13.47 72.565 13.975 8.96 71.445 9.73 69.875 82.34075211
"334" "P50" "F" 15.62 85.17 12.7 9.605 69.495 8.76 67.885 84.45501926
"335" "P50" "F" 12.065 75.42 17.595 11.28 55.135 11.355 53.67 81.07059109
"336" "P50" "M" 17.145 76.74 17.285 12.395 64.85 14.405 63.19 81.98680097
"337" "P50" "F" 16.04 70.22 12.875 9.6 71.68 12.23 64.82 82.4507588
"338" "P25" "F" 16.1 69.29 16.365 9.585 64.345 10.87 62.995 81.9284802
"339" "P25" "M" 17.28 63.69 19.495 13.37 54.77 15.34 52.495 77.41757809
"340" "P50" "F" 13.81 74.415 20.26 13.6 63.65 14.115 61.74 78.67602657
"341" "P50" "M" 8.13 64.22 13.2 10.345 62.795 11.32 63.08 84.60401634
"342" "P50" "F" 11.45 72.435 13.74 8.795 74.305 10.11 72.1 83.67588348
"343" "P50" "M" 12.15 69.565 17.865 11.01 56.3 12.525 55.77 81.55158816
"344" "P50" "M" 14.385 70.82 13.7 9.67 61.16 9.84 58.78 83.69283865
"345" "P50" "F" 18.435 80.77 18.68 12.365 74.155 15.16 67.46 81.06443667
"346" "P50" "F" 6.36 67.215 10.415 6.805 58.51 7.405 58.175 87.23998459
"347" "P50" "F" 14.125 80.16 12.86 9.48 60.455 11.025 59.865 83.45990887
"348" "P50" "M" 13.455 73.295 20.525 14.67 63.675 15.725 60.655 79.1377563
"349" "P25" "F" 14.695 73.965 18.355 14.385 64.405 14.785 63.76 80.31437126
"350" "P25" "F" 15.55 69.345 15.875 12.07 62.69 13.25 62 82.99731183
"351" "P50" "M" 12.02 68.06 15.205 11.045 55.44 11.08 56.525 83.20025298
"352" "P25" "M" 13.785 71.39 15.845 11.71 61.385 12.76 59.78 79.37947494
"353" "P25" "M" 19.185 70.715 17.7 13.925 57.595 15.05 55.82 78.04388133
"354" "P25" "F" 10.92 74.88 12.275 9.155 72.545 10.45 70.42 85.92432583
"355" "P25" "M" 8.59 75.59 14.985 10.035 70.51 9.78 69.275 84.24583424
"356" "P25" "M" 13.93 74.665 15.335 13.97 64.53 16.02 61.755 80.16461516
"357" "P25" "F" 12.755 77.055 14.44 10.91 70.89 12.44 65.72 82.08923663
"358" "P25" "M" 12.805 74.695 16.805 11.13 58.5 10.93 59.935 81.47623019
"359" "P25" "M" 15.86 78.28 15.03 13.01 67.35 13.99 68.77 79.56247683
"360" "P25" "M" 13.01 76.12 15.885 11.665 54.795 12.885 54.69 81.16736537
