"Weight" "Diam" "L" "a" "b" "Variety" "Maturity"
"mo2p25" 0.0776 0.047888 75.77 -2.93 31.19 "C" "2"
"mo2p26" 0.0732 0.046525 76.73 -1.03 38.74 "C" "2"
"mo2p27" 0.0606 0.043725 73.99 -2.3 35.21 "C" "2"
"mo2p28" 0.0621 0.04425 78.3 -5.26 37.56 "C" "2"
"mo2p29" 0.0848 0.050438 76.9 -4.99 34.72 "C" "2"
"mo2p30" 0.0836 0.0499 75.13 -4.85 35.3 "C" "2"
"mo2p31" 0.0738 0.047637 75.75 -4.31 36.96 "C" "2"
"mo2p32" 0.0695 0.047613 77.18 -2.68 36.57 "C" "2"
"mo2p33" 0.0832 0.05115 76.82 -4.76 36.1 "C" "2"
"mo2p34" 0.0681 0.04665 75.59 -4.31 35.55 "C" "2"
"mo2p35" 0.0843 0.050575 75.33 -2.86 39.9 "C" "2"
"mo2p36" 0.0741 0.048138 75.91 -5.56 39.57 "C" "2"
"mo2p37" 0.0762 0.048025 78.57 -2.45 40.86 "C" "2"
"mo2p38" 0.0799 0.049463 75.15 -0.02 44.29 "C" "2"
"mo2p39" 0.0702 0.046175 76.85 -2.53 41.93 "C" "2"
"mo2p40" 0.071 0.047425 78.6 -5.13 42.28 "C" "2"
"mo3p01" 0.0852 0.052413 76.86 -0.97 37.41 "C" "3"
"mo3p02" 0.0715 0.049438 79.26 -3.1 40.91 "C" "3"
"mo3p03" 0.0869 0.051562 79.03 -0.58 40.77 "C" "3"
"mo3p04" 0.0608 0.043588 79.79 -1.46 36.19 "C" "3"
"mo3p05" 0.0902 0.052 80.91 -2.11 35.02 "C" "3"
"mo3p06" 0.0737 0.0493 79.27 -2.85 42.27 "C" "3"
"mo3p07" 0.0603 0.0458 75.21 -2.32 45.15 "C" "3"
"mo3p08" 0.0732 0.049275 78.21 -3.23 35.88 "C" "3"
"mo3p09" 0.0831 0.051075 74.09 1.09 41.4 "C" "3"
"mo3p10" 0.0802 0.050787 72.11 -1.24 30.01 "C" "3"
"mo3p11" 0.0754 0.048238 77.78 -1.97 37.86 "C" "3"
"mo3p12" 0.0725 0.049975 79.28 -0.62 34.86 "C" "3"
"mo3p13" 0.0648 0.047988 80.65 -1.22 42.74 "C" "3"
"mo3p14" 0.0709 0.048337 80.58 -2.12 38.88 "C" "3"
"mo3p15" 0.0557 0.044388 80.24 -3.39 36.34 "C" "3"
"mo3p16" 0.0667 0.046825 78.8 -1.04 38.76 "C" "3"
"mo3p17" 0.0729 0.048825 73.33 0.3 37.95 "C" "3"
"mo3p18" 0.0791 0.04975 76 -0.56 37.94 "C" "3"
"mo3p19" 0.0774 0.049625 72.2 -0.65 33.78 "C" "3"
"mo3p20" 0.0674 0.047575 77.24 -1.13 32.14 "C" "3"
"mo3p21" 0.0726 0.047313 69.51 2.12 33.59 "C" "3"
"mo3p22" 0.0734 0.05 78.16 0.01 44.59 "C" "3"
"mo3p23" 0.0686 0.046863 76.89 -0.49 41.78 "C" "3"
"mo3p24" 0.0756 0.049375 76.74 -4.41 40.06 "C" "3"
"mo3p25" 0.076 0.049737 79.29 -2.45 40.35 "C" "3"
"mo3p26" 0.0724 0.049463 77.16 -0.37 35.87 "C" "3"
"mo3p27" 0.0671 0.047325 79.94 -1.01 37.28 "C" "3"
"mo3p28" 0.0695 0.04875 75.95 0.58 35.36 "C" "3"
"mo3p29" 0.0727 0.049725 76.09 3.08 40.1 "C" "3"
"mo3p30" 0.0777 0.049838 72.92 0 33.23 "C" "3"
"mo3p31" 0.0814 0.05205 71.28 -3.66 27.17 "C" "3"
"mo3p32" 0.0687 0.047125 78.11 -0.61 40.78 "C" "3"
"mo3p33" 0.069 0.047 77.91 -0.37 40.36 "C" "3"
"mo3p34" 0.0649 0.04745 79.57 -2.23 33.18 "C" "3"
"mo3p35" 0.0603 0.045988 76.96 -3.27 36.47 "C" "3"
"mo3p36" 0.0697 0.0484 77.49 -3.35 33.29 "C" "3"
"mo3p38" 0.0777 0.050575 76.65 -1.42 31.43 "C" "3"
"mo3p39" 0.0695 0.046913 81.42 -3.82 34.05 "C" "3"
"mo3p40" 0.0922 0.052125 80.33 -1.77 37.63 "C" "3"
