"Weight" "Diam" "L" "a" "b" "Variety" "Maturity"
"373p24" 0.069 0.0448 59.15 22.45 39 "A" "3"
"373p25" 0.0573 0.040087 54.46 21.71 37.5 "A" "3"
"373p26" 0.0731 0.046438 57.1 22.17 34.76 "A" "3"
"373p27" 0.0518 0.039825 61.6 17.61 39.61 "A" "3"
"373p28" 0.0555 0.040425 59.72 25.25 41.92 "A" "3"
"373p29" 0.0585 0.0421 47.93 29.52 28.58 "A" "3"
"373p30" 0.0698 0.0433 63.99 13.04 46.07 "A" "3"
"373p31" 0.0722 0.045988 59.23 18.26 43.26 "A" "3"
"373p32" 0.0588 0.042338 39.93 16.62 20.64 "A" "3"
"373p33" 0.0573 0.042513 38.88 31.55 17.3 "A" "3"
"373p34" 0.0631 0.042688 61.35 18.71 41.52 "A" "3"
"373p35" 0.0627 0.04335 61.02 7.47 40 "A" "3"
"373p36" 0.0663 0.04335 56.46 25.81 35.83 "A" "3"
"373p37" 0.0644 0.0431 66.53 8.8 46.04 "A" "3"
"373p38" 0.0585 0.042225 54.58 34.36 37.36 "A" "3"
"373p39" 0.0721 0.043275 67.29 7.84 45.27 "A" "3"
"373p40" 0.0671 0.042912 55.74 24.37 36.99 "A" "3"
"bl1p01" 0.0514 0.0433 66.34 -3.6 35.72 "D" "1"
"bl1p02" 0.043 0.039 69.69 -6.23 37.2 "D" "1"
"bl1p03" 0.0507 0.041412 69.44 -6.15 41.45 "D" "1"
"bl1p04" 0.0603 0.0446 69.11 -6.09 42.95 "D" "1"
"bl1p05" 0.0508 0.041763 69.31 -6.21 41.91 "D" "1"
"bl1p06" 0.0663 0.047387 68.81 -5.78 35.53 "D" "1"
"bl1p07" 0.0443 0.03965 70.23 -3.39 38.29 "D" "1"
"bl1p08" 0.0624 0.04435 72.71 -4.88 40.87 "D" "1"
"bl1p09" 0.0555 0.04305 68.93 -4.66 40.83 "D" "1"
"bl1p10" 0.0602 0.043638 69.02 -6.42 40.54 "D" "1"
"bl1p11" 0.0568 0.043788 65.21 -4.84 34.31 "D" "1"
"bl1p12" 0.055 0.043987 69.83 -6.05 35.95 "D" "1"
"bl1p13" 0.0572 0.044312 71.76 -6.63 36.47 "D" "1"
"bl1p14" 0.0425 0.0404 70.23 -5.44 44.01 "D" "1"
"bl1p15" 0.0449 0.039238 71.57 -4.35 44.27 "D" "1"
"bl1p16" 0.0621 0.045163 70.31 -3.81 39.94 "D" "1"
"bl1p17" 0.0439 0.039738 66.58 -1.52 45.67 "D" "1"
"bl1p18" 0.0509 0.042987 65.1 -6.66 33.49 "D" "1"
"bl1p19" 0.0609 0.045088 71.18 -5.56 39.4 "D" "1"
"bl1p20" 0.0445 0.0402 70.84 -4.3 42.68 "D" "1"
"bl1p21" 0.0553 0.04425 71.95 -4.34 43.78 "D" "1"
"bl1p22" 0.0568 0.043675 68.38 -5.17 40.04 "D" "1"
"bl1p23" 0.0516 0.042688 70.15 -5.99 43.57 "D" "1"
"bl1p24" 0.0537 0.042487 70.05 -3.82 45.09 "D" "1"
"bl1p25" 0.0547 0.0434 70.34 -3.77 44.72 "D" "1"
"bl1p26" 0.0542 0.042425 70.68 -6.27 36.99 "D" "1"
"bl1p27" 0.0774 0.049987 70.99 -7.36 38.17 "D" "1"
"bl1p28" 0.0613 0.045338 70.3 -5.44 45.16 "D" "1"
"bl1p29" 0.0389 0.03815 70.79 -4.41 40.91 "D" "1"
"bl1p30" 0.0599 0.045363 69.76 -2.64 38.15 "D" "1"
"bl1p31" 0.0478 0.040825 70.53 -5.66 39.39 "D" "1"
"bl1p32" 0.0751 0.04965 70.86 -5.75 43.43 "D" "1"
"bl1p33" 0.0625 0.04605 67.36 -5.34 41.15 "D" "1"
"bl1p34" 0.0547 0.044525 69.13 -4.98 38.7 "D" "1"
"bl1p35" 0.0523 0.041238 68.62 -3.96 41.72 "D" "1"
"bl1p36" 0.056 0.044088 69.37 -5.11 37.1 "D" "1"
"bl1p37" 0.0665 0.048212 67.93 -3.47 40.06 "D" "1"
"bl1p38" 0.0508 0.041462 71.02 -2.9 43.15 "D" "1"
"bl1p39" 0.0452 0.040688 68.36 -3.23 40.04 "D" "1"
"bl1p40" 0.06 0.046413 70.9 -4.01 44.96 "D" "1"
"bl2p01" 0.0448 0.04005 69.36 0.9 43.23 "D" "2"
"bl2p02" 0.0425 0.0395 72.01 -2.82 45.27 "D" "2"
"bl2p03" 0.0471 0.040712 70.59 -1.56 41.18 "D" "2"
"bl2p04" 0.0475 0.041537 70.89 -0.74 45.06 "D" "2"
"bl2p05" 0.0487 0.041987 62.77 4.91 42.97 "D" "2"
"bl2p06" 0.0604 0.045137 70.52 -2.85 45.79 "D" "2"
"bl2p07" 0.0599 0.043575 65.21 -0.33 43.25 "D" "2"
"bl2p08" 0.0586 0.045775 69.25 -2.46 35.39 "D" "2"
"bl2p09" 0.0573 0.043487 70.45 -2.97 42.21 "D" "2"
"bl2p10" 0.0491 0.041425 69.68 2.45 45.32 "D" "2"
"bl2p11" 0.0516 0.043675 70.52 1 40.62 "D" "2"
"bl2p12" 0.0516 0.04305 69.92 -1.5 40.94 "D" "2"
"bl2p13" 0.0495 0.040675 71.31 -1.05 44.21 "D" "2"
"bl2p14" 0.0437 0.039738 71.37 -0.5 44.66 "D" "2"
"bl2p15" 0.0701 0.046988 71.64 -3.2 39.92 "D" "2"
"bl2p16" 0.05 0.042688 69.74 -0.58 42.86 "D" "2"
"bl2p17" 0.0679 0.046363 70.97 -3.56 42.38 "D" "2"
"bl2p18" 0.043 0.040725 71.43 -0.83 45.31 "D" "2"
"bl2p19" 0.0462 0.041938 71.03 0.84 41.62 "D" "2"
"bl2p20" 0.0477 0.040063 69.61 -2.23 44.82 "D" "2"
"bl2p21" 0.0423 0.039625 70.2 5.86 50.56 "D" "2"
"bl2p22" 0.0564 0.0452 69.95 -4.26 35.65 "D" "2"
"bl2p23" 0.0667 0.044612 69.53 -3.69 41.42 "D" "2"
"bl2p24" 0.0468 0.04095 70.92 -0.45 45.57 "D" "2"
"bl2p25" 0.0425 0.040212 69.98 3.48 48.87 "D" "2"
"bl2p26" 0.0499 0.042162 71.14 -1.97 42.67 "D" "2"
"bl2p27" 0.054 0.0432 72.79 -2.08 46.64 "D" "2"
"bl2p28" 0.0474 0.041225 68.08 5.52 46.03 "D" "2"
"bl2p29" 0.0489 0.042362 70.64 -0.96 47.52 "D" "2"
"bl2p30" 0.0621 0.046 70.86 -2.05 39.19 "D" "2"
"bl2p31" 0.0573 0.043013 70.63 -2.17 41.82 "D" "2"
"bl2p32" 0.063 0.0458 72.31 -0.37 42.27 "D" "2"
"bl2p33" 0.0596 0.045775 70.47 -1.83 40.4 "D" "2"
"bl2p34" 0.0387 0.03925 69.19 -0.99 40.34 "D" "2"
"bl2p35" 0.0473 0.04055 69.13 -2.73 41.86 "D" "2"
"bl2p36" 0.0459 0.041912 68.62 4.61 39.56 "D" "2"
"bl2p37" 0.0598 0.043675 71.73 -0.44 47.08 "D" "2"
"bl2p39" 0.0496 0.042225 70.09 0.82 46.4 "D" "2"
"bl2p40" 0.0475 0.0415 71.34 1.81 49.12 "D" "2"
"bl3p03" 0.0481 0.041763 74.05 1 38.71 "D" "3"
"bl3p06" 0.0474 0.042862 71.09 1.6 45.52 "D" "3"
"bl3p07" 0.0545 0.043162 72.81 -0.48 45.42 "D" "3"
"bl3p09" 0.0443 0.041787 69.05 7.3 45.14 "D" "3"
"bl3p11" 0.0529 0.043562 72.31 1.76 42.1 "D" "3"
"bl3p12" 0.0575 0.044725 69.91 3.39 42.29 "D" "3"
"bl3p13" 0.063 0.045663 69.14 6.87 45.85 "D" "3"
"bl3p14" 0.049 0.043425 71.36 3.17 45.1 "D" "3"
"bl3p15" 0.0547 0.043987 72.34 4.05 46.01 "D" "3"
"bl3p16" 0.042 0.041363 69.83 5.07 43.66 "D" "3"
"bl3p17" 0.0489 0.042787 73.37 1.04 45.03 "D" "3"
"bl3p18" 0.045 0.0412 73.81 4 45.44 "D" "3"
"bl3p19" 0.0563 0.0456 70.14 4.64 40.78 "D" "3"
"bl3p22" 0.0494 0.043225 70.25 5.36 44.19 "D" "3"
"bl3p23" 0.0395 0.03915 73.6 6.14 43.98 "D" "3"
"bl3p24" 0.0621 0.044988 70.92 6.98 47.35 "D" "3"
"bl3p25" 0.0542 0.0444 69.26 1.21 40.11 "D" "3"
"bl3p26" 0.0466 0.042487 69.03 2.63 40.94 "D" "3"
"bl3p27" 0.0578 0.045687 68.03 5.03 41.58 "D" "3"
"bl3p28" 0.0468 0.043575 70.58 -0.75 38.9 "D" "3"
"bl3p29" 0.0648 0.045913 70.06 3.63 43.58 "D" "3"
"bl3p31" 0.0546 0.045238 72.76 3.15 42.87 "D" "3"
"bl3p32" 0.0549 0.04425 72.26 0.43 39.8 "D" "3"
"bl3p33" 0.0517 0.044062 71.33 2.18 43.82 "D" "3"
"bl3p34" 0.0605 0.0473 74.67 -0.09 40.07 "D" "3"
"bl3p35" 0.0551 0.0437 67.79 9.47 43.04 "D" "3"
"bl3p36" 0.0473 0.0438 70.24 5.68 42.86 "D" "3"
"bl3p37" 0.0594 0.045038 70.12 2.26 40.39 "D" "3"
"bl3p39" 0.0518 0.042525 73.54 3.31 45.64 "D" "3"
"go1p01" 0.0533 0.043013 63.36 8.82 46.47 "B" "1"
"go1p02" 0.0501 0.041313 62.88 10.33 49.36 "B" "1"
"go1p03" 0.0763 0.047438 62.25 -7.7 45.84 "B" "1"
"go1p04" 0.0722 0.048625 65.26 7.67 51.16 "B" "1"
"go1p05" 0.0754 0.04825 64.36 2.2 51.51 "B" "1"
"go1p06" 0.0523 0.041537 62.8 4.25 47.3 "B" "1"
"go1p07" 0.0506 0.041987 63.89 2.4 47.06 "B" "1"
"go1p08" 0.0579 0.043825 62.78 4 46.98 "B" "1"
"go1p09" 0.0684 0.046137 62.48 -3.82 48.21 "B" "1"
"go1p10" 0.0643 0.045937 64.56 -2.2 52.16 "B" "1"
"go1p11" 0.0466 0.040775 59.48 -1.35 40.3 "B" "1"
"go1p12" 0.0589 0.044062 59.31 6.05 43.41 "B" "1"
"go1p13" 0.0531 0.043162 62.65 10.11 48.23 "B" "1"
"go1p14" 0.0758 0.048925 62.4 3.33 47.59 "B" "1"
"go1p15" 0.0515 0.041263 61.37 -1.56 43.93 "B" "1"
"go1p16" 0.0967 0.053738 63.08 10.63 52.1 "B" "1"
"go1p17" 0.0526 0.0418 65.02 6.48 50.68 "B" "1"
"go1p18" 0.0755 0.046012 63.93 6.03 49.95 "B" "1"
"go1p19" 0.0722 0.045825 63.44 3.22 49.25 "B" "1"
"go1p20" 0.0548 0.043312 58.81 -1.34 42.86 "B" "1"
"go1p21" 0.0601 0.044463 59.06 -4.24 42.98 "B" "1"
"go1p22" 0.0652 0.046325 56.94 -6.07 40.53 "B" "1"
"go1p23" 0.0634 0.045325 60.4 -1.36 45.69 "B" "1"
"go1p24" 0.0683 0.045562 63.36 -4.85 47.57 "B" "1"
"go1p25" 0.0595 0.04325 64.04 2.24 46.76 "B" "1"
"go1p26" 0.0671 0.045425 66.48 3.27 51.25 "B" "1"
"go1p27" 0.0735 0.04625 63.91 3.18 47.71 "B" "1"
"go1p28" 0.0745 0.048375 66.21 4.01 54.26 "B" "1"
"go1p29" 0.0679 0.0454 64.58 4.13 51.23 "B" "1"
"go1p30" 0.0748 0.049388 63.32 -0.25 48.47 "B" "1"
"go1p31" 0.0676 0.0451 63.08 3.59 48.88 "B" "1"
"go1p32" 0.0551 0.04265 63.39 0.28 47.56 "B" "1"
"go1p33" 0.0657 0.046663 62.79 -1.68 49.48 "B" "1"
"go1p34" 0.0773 0.047488 63.62 1.4 50.39 "B" "1"
"go1p35" 0.0666 0.04435 63.42 -1.82 48.66 "B" "1"
"go1p36" 0.0615 0.045062 63.75 3.21 51.22 "B" "1"
"go1p37" 0.084 0.050862 65.36 0.49 48.17 "B" "1"
"go1p38" 0.0565 0.042513 60.39 -7.13 46.39 "B" "1"
"go1p39" 0.0629 0.044612 64.58 2.55 47.72 "B" "1"
"go1p40" 0.0597 0.045125 62.21 1.22 47.72 "B" "1"
"go2p02" 0.0598 0.043413 57.57 19.26 49.27 "B" "2"
"go2p03" 0.0889 0.0461 63.71 16.57 53.36 "B" "2"
"go2p04" 0.042 0.038137 57.5 15.04 47.97 "B" "2"
"go2p05" 0.0486 0.039488 54.56 20.81 46.35 "B" "2"
"go2p06" 0.0556 0.0416 56.41 14.14 47.64 "B" "2"
"go2p07" 0.0497 0.040325 60.15 15.61 50 "B" "2"
"go2p08" 0.0643 0.04405 54.15 21.24 44.24 "B" "2"
"go2p09" 0.0641 0.0446 59.64 16.93 51.07 "B" "2"
"go2p10" 0.0784 0.047325 61.55 13.69 49.36 "B" "2"
"go2p11" 0.0485 0.040388 56.1 5.85 43.45 "B" "2"
"go2p12" 0.0604 0.042138 59.97 16.92 48.73 "B" "2"
"go2p13" 0.0541 0.041775 58.34 11.9 48.03 "B" "2"
