"Poids" "Diam" "L" "a" "b" "Glucose" "Fructose" "Saccharose" "Citrate" "Malate" "Variete" "Maturite"
"372p26" 59.9 41.3 59.32 7.44 38.01 1.82 1.02 2.79 25.7 6.25 "37" "Moyenne"
"372p28" 59.5 41.3 55.81 18.87 31.01 1.95 1.05 2.63 26.93 5.37 "37" "Moyenne"
"372p29" 61.1 40.375 54.8 23.16 35.1 2.27 1.1 2.99 30.4 5.81 "37" "Moyenne"
"372p30" 62.7 41.75 58.05 20.51 37.18 2.27 1.15 2.12 22.18 5.35 "37" "Moyenne"
"372p31" 56.8 39.1 62.25 11.43 43.8 2.35 1.13 3.64 30.47 5.97 "37" "Moyenne"
"372p32" 61.6 41.838 54.48 15.87 35.97 2.5 1.3 3.01 25.74 5.66 "37" "Moyenne"
"372p33" 50.2 38.575 62.11 11.72 38.77 2.2 1.12 3.7 23.81 5.52 "37" "Moyenne"
"372p34" 59.9 41.85 64.08 4.83 41.61 2 1.13 2.36 23.49 5.39 "37" "Moyenne"
"372p35" 60 42.763 55.79 17.91 34.68 2.32 1.22 2.14 25.33 5.21 "37" "Moyenne"
"372p36" 62.6 42.188 47.37 14.67 24.09 2.17 1.07 2.99 26.93 5.82 "37" "Moyenne"
"372p37" 53.9 39.325 61.79 9.75 42.57 2.43 1.3 1.4 23.05 5.37 "37" "Moyenne"
"372p38" 61.6 41.212 66.52 9.4 49.03 2.1 1.15 3.43 26.52 5.96 "37" "Moyenne"
"372p39" 57.4 39.875 53.4 16.51 30.65 2.7 1.28 1.77 25.39 5.67 "37" "Moyenne"
"372p40" 56.2 39.363 63.13 9.62 43.57 2.08 1.15 2.47 26.17 5.52 "37" "Moyenne"
"373p01" 68.5 42.55 50.04 33.88 31.22 2.15 1.05 3.49 21.86 4.47 "37" "Forte"
"373p02" 63.4 43.312 59.92 21.27 40.88 2.32 1.05 3.91 19.11 4.77 "37" "Forte"
"373p03" 73.5 45.637 54.8 27.17 36.69 2.6 1.4 3.73 25.43 5.98 "37" "Forte"
"373p04" 60.3 42.925 56.28 23.81 37.33 2.71 1.37 2.51 23.73 5.5 "37" "Forte"
"373p05" 47.4 39.1 45.52 34.98 23.65 2.83 1.33 3.04 20.74 4.93 "37" "Forte"
"373p06" 59.2 41.963 61.74 8.88 43.5 2.25 1.18 3.12 24.22 4.63 "37" "Forte"
"373p07" 59.3 40.925 44.69 37.49 27.77 2.94 1.42 4.51 22.96 5.65 "37" "Forte"
"373p08" 62.3 44.338 40.75 32.5 20.48 2.29 1.22 3.16 19.45 4.76 "37" "Forte"
"373p09" 65.9 44.362 57.86 15.66 38.85 2.39 1.3 3.01 20.26 5.21 "37" "Forte"
"373p10" 62.8 43.35 59.27 19.65 40.34 2.39 1.12 3.65 24.14 5.36 "37" "Forte"
"373p11" 63 43.225 68.91 2.23 47.88 2.23 1.15 2.83 23.07 4.63 "37" "Forte"
"373p12" 64.6 42.463 64.12 10.89 42.8 2.1 1.08 2.91 27.34 5.22 "37" "Forte"
"373p13" 55.7 40.225 57.81 16.87 37.47 2.37 1.17 2.98 26.09 4.91 "37" "Forte"
"373p14" 68.2 44.013 69.45 7.13 46.94 2.44 1.32 2.54 22.21 4.62 "37" "Forte"
"373p15" 66.5 44.562 63.28 21.29 43.13 2.12 1.15 3.87 23.4 4.92 "37" "Forte"
