"Poids" "Diam" "L" "a" "b" "Glucose" "Fructose" "Saccharose" "Citrate" "Malate" "Variete" "Maturite"
"go1p26" 67.1 45.425 66.48 3.27 51.25 1.5 0.55 3.17 27.28 8.49 "go" "Faible"
"go1p27" 73.5 46.25 63.91 3.18 47.71 1.57 0.55 3.22 26.48 6.84 "go" "Faible"
"go1p28" 74.5 48.375 66.21 4.01 54.26 1.53 0.63 3.47 21.89 6.12 "go" "Faible"
"go1p29" 67.9 45.4 64.58 4.13 51.23 1.45 0.6 3.56 28.49 8.2 "go" "Faible"
"go1p30" 74.8 49.388 63.32 -0.25 48.47 1.35 0.58 3.42 27.76 7.62 "go" "Faible"
"go1p31" 67.6 45.1 63.08 3.59 48.88 1.32 0.55 3.89 27.32 7.31 "go" "Faible"
"go1p32" 55.1 42.65 63.39 0.28 47.56 1.03 0.43 2.09 27.76 6.12 "go" "Faible"
"go1p33" 65.7 46.663 62.79 -1.68 49.48 1.5 0.58 4.33 28.98 7.33 "go" "Faible"
"go1p34" 77.3 47.488 63.62 1.4 50.39 1.39 0.57 3.73 29.11 8.75 "go" "Faible"
"go1p35" 66.6 44.35 63.42 -1.82 48.66 1.49 0.65 3.26 27.62 8.47 "go" "Faible"
"go1p36" 61.5 45.062 63.75 3.21 51.22 1.65 0.63 3.66 31.28 7.92 "go" "Faible"
"go1p37" 84 50.862 65.36 0.49 48.17 1.52 0.62 4.03 31.18 9.08 "go" "Faible"
"go1p38" 56.5 42.513 60.39 -7.13 46.39 1.25 0.52 2.75 28.04 8.63 "go" "Faible"
"go1p39" 62.9 44.612 64.58 2.55 47.72 1.4 0.6 3.71 23.46 6.87 "go" "Faible"
"go1p40" 59.7 45.125 62.21 1.22 47.72 1.4 0.57 3.7 29.62 7.59 "go" "Faible"
"go2p02" 59.8 43.413 57.57 19.26 49.27 0.85 0.35 2.75 23.79 8.94 "go" "Moyenne"
"go2p03" 88.9 46.1 63.71 16.57 53.36 0.9 0.4 3.57 20.69 11.78 "go" "Moyenne"
"go2p04" 42 38.137 57.5 15.04 47.97 0.72 0.32 2.55 18.32 11.76 "go" "Moyenne"
"go2p05" 48.6 39.488 54.56 20.81 46.35 1.03 0.35 2.9 23.05 8.51 "go" "Moyenne"
"go2p06" 55.6 41.6 56.41 14.14 47.64 1.05 0.38 2.99 21.89 11.8 "go" "Moyenne"
"go2p07" 49.7 40.325 60.15 15.61 50 1.05 0.47 2.85 21.86 10.74 "go" "Moyenne"
"go2p08" 64.3 44.05 54.15 21.24 44.24 1.32 0.45 3.15 19.06 8.92 "go" "Moyenne"
"go2p09" 64.1 44.6 59.64 16.93 51.07 1.15 0.38 3.06 20.74 10.91 "go" "Moyenne"
"go2p10" 78.4 47.325 61.55 13.69 49.36 0.98 0.35 3.57 17.58 13.13 "go" "Moyenne"
"go2p11" 48.5 40.388 56.1 5.85 43.45 0.6 0.23 1.88 24.67 7.78 "go" "Moyenne"
"go2p12" 60.4 42.138 59.97 16.92 48.73 0.95 0.4 3.76 18.42 14.97 "go" "Moyenne"
"go2p13" 54.1 41.775 58.34 11.9 48.03 0.75 0.27 2.63 20.25 10.41 "go" "Moyenne"
"go2p14" 58.7 43.475 59.38 19.36 46.67 1.15 0.43 4.02 19.55 13 "go" "Moyenne"
"go2p15" 59.5 43.663 57.88 18.42 49.28 1.33 0.5 3.91 19.53 11.04 "go" "Moyenne"
"go2p16" 56.3 42.787 56.78 16.82 47.62 0.85 0.28 2.54 23.83 10.3 "go" "Moyenne"
"go2p17" 82.3 48.575 62.84 19.81 50.21 1.09 0.42 4.44 17.47 11.72 "go" "Moyenne"
"go2p18" 66.7 44.937 59.74 18.23 50.72 1.15 0.5 3.8 14.45 12.54 "go" "Moyenne"
"go2p19" 54.4 42.375 59.48 15.14 51.98 0.82 0.37 3.66 19.42 13.51 "go" "Moyenne"
"go2p20" 65.7 44.275 62.64 12.88 50.17 1.04 0.45 3.87 20.52 14.2 "go" "Moyenne"
"go2p21" 67 45.7 61.9 17.04 50.68 1.15 0.53 4.33 17.59 18.37 "go" "Moyenne"
"go2p22" 68 44.825 61.13 19.34 51.68 0.97 0.47 4.24 16.68 14.23 "go" "Moyenne"
"go2p23" 62.1 43.338 58.35 20.94 50.99 1.03 0.48 4.35 17.19 13.28 "go" "Moyenne"
"go2p24" 71 45.762 59.55 19.65 47.67 1.15 0.5 4.6 12.92 13.32 "go" "Moyenne"
"go2p25" 57.7 42.638 58.28 18.87 48.27 0.97 0.42 3.55 15.15 10.24 "go" "Moyenne"
"go2p26" 55.2 42.85 60.44 17.76 49.69 1 0.5 4.26 16.8 15.22 "go" "Moyenne"
"go2p27" 73.8 47.387 59.35 11.93 47.89 0.98 0.45 4.05 16.03 14.64 "go" "Moyenne"
"go2p28" 82.8 47.7 56.25 16.97 41.87 1.1 0.53 4.64 10.55 13.73 "go" "Moyenne"
"go2p29" 80.5 48.787 62.45 21.62 53.19 1.52 0.67 5.12 13.23 11.45 "go" "Moyenne"
"go2p30" 66.8 44.4 60.78 22.67 52.56 0.92 0.3 3.04 22.23 9.84 "go" "Moyenne"
"go2p31" 70.4 45.275 59.52 20.27 51.75 1.55 0.62 4.69 18.32 11.76 "go" "Moyenne"
"go2p32" 63.1 44.125 59.98 17.34 50.95 1.34 0.55 4.31 16.68 10.97 "go" "Moyenne"
"go2p33" 62.3 42.487 62.83 18.29 48.16 0.98 0.5 3.7 11.73 10.75 "go" "Moyenne"
"go2p34" 53.7 41.075 56.64 8.4 45.55 0.8 0.35 2.15 22.25 11.33 "go" "Moyenne"
"go2p35" 75.2 47.888 59.91 6.9 45 0.83 0.38 3.2 16.42 13.14 "go" "Moyenne"
"go2p36" 68.1 45.363 58.6 9.76 47.25 0.92 0.42 3.79 14.44 14.62 "go" "Moyenne"
"go2p37" 55.4 42.188 56.31 8.86 44.73 0.67 0.27 2.25 25.66 9.95 "go" "Moyenne"
"go2p38" 58.8 43.037 55.51 16.54 48.88 0.9 0.32 2.92 22.23 10.43 "go" "Moyenne"
"go2p39" 47.1 39.975 58.14 18.23 50.77 1.5 0.63 3.49 17.97 13.28 "go" "Moyenne"
"go2p40" 62.3 45.2 60.49 15.27 45.68 1.5 0.55 3.96 16.39 6.26 "go" "Moyenne"
"go3p01" 59.4 41.737 59.52 25.97 54.71 1.68 0.78 5.28 20.35 8.52 "go" "Forte"
"go3p02" 55.5 41.8 60.42 25.59 49.66 1.65 0.75 5.09 19.95 9.87 "go" "Forte"
"go3p03" 55.9 43.112 62.38 24.76 54.72 1.87 0.9 5.26 19.11 9.84 "go" "Forte"
"go3p04" 57.8 43.138 57.84 27.2 50.86 1.9 0.93 6.09 17.62 10.02 "go" "Forte"
"go3p05" 56.5 43.338 61.32 24.18 54.64 1.7 0.85 5.55 18.34 12.83 "go" "Forte"
"go3p06" 46.1 39.538 59 26.71 52.48 1.92 0.9 5.74 18.34 9.4 "go" "Forte"
"go3p07" 42.9 37.488 58.45 27.65 52.1 2.4 1.12 5.83 19.89 9.98 "go" "Forte"
"go3p08" 50.6 40.725 61.61 26.77 53.11 1.95 0.92 6.69 17.17 11.04 "go" "Forte"
"go3p09" 56.6 43.3 60.64 23.5 52.25 1.5 0.75 4.59 18.3 12.94 "go" "Forte"
"go3p10" 61.1 44.375 60.49 28.09 53.48 1.64 0.82 5.78 19.08 11.16 "go" "Forte"
"go3p11" 47.7 39.425 59.62 20.19 53.35 1.43 0.77 4.22 14.66 10.46 "go" "Forte"
"go3p12" 62.2 44.25 56.65 25 50.14 1.35 0.58 4.14 22.67 8.96 "go" "Forte"
"go3p13" 49.1 39.738 56.53 25.39 51.12 1.48 0.57 4.22 23.93 9.73 "go" "Forte"
"go3p14" 54.9 41.563 60.38 25.26 51.14 1.55 0.78 4.85 17.61 11.21 "go" "Forte"
"go3p15" 60.8 44.762 59.19 26.73 53.02 1.63 0.85 5.29 11.36 8.08 "go" "Forte"
"go3p17" 56.7 43.588 60.58 23.41 53.62 1.67 0.72 4.51 20.3 11.04 "go" "Forte"
"go3p18" 55.7 42.1 60.26 26.89 52.41 1.77 0.75 5.88 18.33 9.98 "go" "Forte"
"go3p19" 59.4 43.225 60.16 25.88 53.2 1.65 0.8 5.93 17.55 12.22 "go" "Forte"
"go3p20" 57.7 43.275 61.84 23.43 54.56 1.62 0.77 5.59 17.54 12.06 "go" "Forte"
"go3p21" 46.6 40.138 60.21 21.26 54.07 1.37 0.67 3.46 24.18 10.13 "go" "Forte"
"go3p23" 54.9 43.55 56.44 20.02 49.24 0.95 0.4 2.52 28.19 6.88 "go" "Forte"
"go3p24" 41.3 37.713 58.66 23.04 54.13 1.52 0.75 4.36 15.59 6.55 "go" "Forte"
"go3p25" 46.9 40.25 59.34 23.11 49.62 1.52 0.7 5.15 24.88 11.59 "go" "Forte"
"mo1p01" 77.6 51 72.86 -9.65 35.83 2.26 0.8 0.52 25.5 5.57 "mo" "Faible"
"mo1p02" 62.3 45.35 72.71 -7.12 35.11 2.06 0.75 1.29 26.1 5.63 "mo" "Faible"
"mo1p03" 60.3 45.225 66.87 -8.71 32.89 1.87 0.74 0.89 27.07 5.95 "mo" "Faible"
"mo1p04" 58.6 44.85 74.09 -8.97 34.33 1.88 0.71 1.48 25.86 5.76 "mo" "Faible"
"mo1p05" 52.6 43.388 71.2 -9.26 35.56 1.66 0.75 1.95 27.14 6.27 "mo" "Faible"
"mo1p06" 67 47.613 70.26 -10.65 36 1.75 0.66 1.49 28.49 6.12 "mo" "Faible"
"mo1p07" 55.8 45.175 71.6 -8.47 34.71 1.62 0.71 2.61 24.19 5.48 "mo" "Faible"
"mo1p08" 65.3 48.162 70.88 -8.72 34.02 1.82 0.65 2.24 26.71 6.24 "mo" "Faible"
"mo1p09" 51.7 43.463 70.14 -9.25 31.31 2.09 0.74 0.87 28.17 5.8 "mo" "Faible"
"mo1p10" 57.9 45.262 70.62 -8.85 36.86 1.79 0.81 1.77 28.9 5.76 "mo" "Faible"
"mo1p11" 65.1 46.15 71.96 -8.45 38.27 1.8 0.79 2.08 27.98 5.43 "mo" "Faible"
"mo1p12" 83.9 51.562 73.45 -7.43 37.4 1.79 0.79 2.71 26.11 5.28 "mo" "Faible"
"mo1p13" 47.3 42.287 71.15 -8.29 40.69 2.25 0.85 1.22 23.85 5.35 "mo" "Faible"
"mo1p14" 52.2 42.85 64.64 -5.46 37.3 1.57 0.73 1.87 26.71 5.05 "mo" "Faible"
"mo1p16" 55.4 44.988 72.03 -9.77 33.08 1.92 0.77 1.33 29.28 8.03 "mo" "Faible"
"mo1p17" 82 50.888 73.64 -5.74 35.79 1.78 0.72 3 23.76 5.53 "mo" "Faible"
"mo1p18" 66 46.962 73.89 -6.1 36.68 1.87 0.84 2.86 24.95 5.3 "mo" "Faible"
"mo1p19" 52.5 42.975 72.17 -9.49 32.2 1.85 0.73 1.43 25.94 5.82 "mo" "Faible"
"mo1p20" 72.1 48.3 68.42 -7.27 40.12 2.2 0.83 0.9 28.13 5.82 "mo" "Faible"
"mo1p21" 67.1 48.837 69.89 -7.26 33.36 2.53 0.82 0.52 26.62 6.21 "mo" "Faible"
"mo1p22" 63.3 46.712 71.38 -8.07 31.96 2.08 0.75 1.05 27.9 6.06 "mo" "Faible"
"mo1p23" 61.6 45.838 68.55 -8.55 39.94 1.73 0.69 1.59 25.61 5.31 "mo" "Faible"
"mo1p24" 65.3 46.575 72.16 -7.87 36.22 1.99 0.88 2.61 25.45 6.37 "mo" "Faible"
"mo1p25" 66.7 47.25 74.73 -5.6 48.12 1.8 0.71 3.42 20.39 4.58 "mo" "Faible"
"mo1p26" 74.5 49.162 75.16 -6.52 36.34 1.9 0.74 2.2 24.99 5.97 "mo" "Faible"
"mo1p27" 77.4 50.963 75.42 -5.92 34.95 1.83 0.72 2.79 24.08 5.61 "mo" "Faible"
"mo1p28" 61.2 45.675 68.05 -11.01 37.99 2.24 0.81 0.29 30.54 6.61 "mo" "Faible"
"mo1p29" 58.8 45.137 71.24 -8.22 35.57 1.71 0.7 1.84 27.64 6.67 "mo" "Faible"
"mo1p30" 61.4 46.538 70.58 -9.62 34.66 1.81 0.73 1.1 29.47 5.84 "mo" "Faible"
"mo1p31" 63.4 46.163 69.69 -11.2 35.23 1.81 0.66 0.98 30.26 6.13 "mo" "Faible"
"mo1p32" 59.5 46.025 71.51 -6.99 37.94 1.67 0.64 2.98 25.88 5.97 "mo" "Faible"
"mo1p33" 75.3 50.388 69.19 -8.38 45.68 1.76 0.75 2.93 29.5 6.67 "mo" "Faible"
"mo1p34" 70.9 48.475 71.89 -6.9 40.04 1.71 0.69 3.29 31.21 7.09 "mo" "Faible"
"mo1p35" 63.6 45.725 71.11 -7.54 34.38 1.84 0.75 3.84 27.41 6.7 "mo" "Faible"
"mo1p36" 69.9 47.325 73.43 -6.29 36.64 1.73 0.79 3.65 28.04 6.62 "mo" "Faible"
"mo1p37" 66.4 47.75 68.58 -9.2 35.98 1.95 0.68 1.67 30.36 5.61 "mo" "Faible"
"mo1p38" 60.8 46.012 71.22 -9.05 36.03 2.12 0.81 1.17 29.27 5.96 "mo" "Faible"
"mo1p39" 62.7 45.475 72.6 -7.6 39.71 2.14 0.84 2.55 31.36 6.9 "mo" "Faible"
"mo1p40" 57.6 44.762 72.91 -6.68 37.86 1.78 0.69 2.44 28.7 6.63 "mo" "Faible"
"mo2p01" 77.8 48.912 65.81 -1.13 29.77 1.71 0.74 5.74 13.23 6.21 "mo" "Moyenne"
"mo2p02" 63.4 44.187 76.33 -1.39 35.21 1.51 0.69 5.47 19.3 6.22 "mo" "Moyenne"
"mo2p03" 61.8 43.812 71.34 -5.25 41.59 1.6 0.79 2.99 18.78 6.62 "mo" "Moyenne"
"mo2p04" 73.8 46.738 75.81 -3.8 44.67 1.87 0.83 5.36 21.63 7.04 "mo" "Moyenne"
"mo2p05" 89 50.287 73.09 -4.77 41.04 1.88 0.99 4.33 21.82 6.87 "mo" "Moyenne"
"mo2p06" 103.9 53.962 71.5 1.02 36.05 1.71 0.79 6.23 23.06 6.45 "mo" "Moyenne"
"mo2p07" 85.6 48.813 73.34 -4.38 37.91 1.93 0.94 5.89 21.86 6.89 "mo" "Moyenne"
"mo2p08" 74.3 47.275 72.77 -0.16 40.13 2 0.83 8.02 16.7 6.34 "mo" "Moyenne"
"mo2p09" 91 49.975 75.38 -2.49 33.46 2.13 0.93 7.34 16.05 6.57 "mo" "Moyenne"
"mo2p10" 64.2 45.875 75.36 -3.68 37.15 1.95 0.94 5.48 18.02 7.28 "mo" "Moyenne"
"mo2p11" 77.6 47.662 75.37 -5.24 36.85 2.02 0.96 5.35 20.29 7.11 "mo" "Moyenne"
"mo2p12" 76.1 48 70.2 -3.84 38.88 1.99 1 3.46 21.26 6.92 "mo" "Moyenne"
"mo2p13" 74.9 46.525 61.95 -1.43 25.25 2.48 1.19 8.05 16.49 7.07 "mo" "Moyenne"
"mo2p14" 73.3 48.25 75.97 -5.84 37.13 1.76 0.91 4.51 20.17 6.86 "mo" "Moyenne"
"mo2p15" 60.2 43.088 70.98 1.55 32.16 1.98 0.92 6.64 16.97 6.89 "mo" "Moyenne"
"mo2p16" 91 50.537 76.12 -3.46 37.2 1.95 0.9 7.27 17.81 6.49 "mo" "Moyenne"
"mo2p17" 78 48.763 74.61 -5.58 34.94 1.91 0.92 5.94 22.55 7.11 "mo" "Moyenne"
"mo2p18" 77.3 48.825 78.15 -6.07 38.11 2.04 1 5.25 21.93 6.91 "mo" "Moyenne"
"mo2p19" 75.7 47.725 78.87 -7.23 35.61 1.98 0.98 4.85 25.04 6.73 "mo" "Moyenne"
"mo2p20" 67.2 45.25 60.7 -0.54 26.44 2.47 1.07 7.81 19.86 7.14 "mo" "Moyenne"
"mo2p21" 63.8 44.175 74.65 0.55 41.22 2.26 0.9 6.62 18.19 6.68 "mo" "Moyenne"
"mo2p22" 69.8 46.587 76.12 -6.32 41.45 2.11 0.92 4.77 21.19 6.45 "mo" "Moyenne"
"mo2p23" 76.1 48.712 78.26 -3.06 35.65 1.67 0.8 5.64 17.32 6.48 "mo" "Moyenne"
"mo2p24" 60.4 44.075 78.29 -2.27 36.43 2.04 1.02 4.87 18.66 7.35 "mo" "Moyenne"
"mo2p25" 77.6 47.888 75.77 -2.93 31.19 1.91 0.89 7.03 22.59 7.34 "mo" "Moyenne"
"mo2p26" 73.2 46.525 76.73 -1.03 38.74 1.91 0.84 6.75 17.47 5.78 "mo" "Moyenne"
"mo2p27" 60.6 43.725 73.99 -2.3 35.21 2.45 1.09 8.14 17.85 6.39 "mo" "Moyenne"
"mo2p28" 62.1 44.25 78.3 -5.26 37.56 2.84 1.21 5.77 21.6 7.07 "mo" "Moyenne"
"mo2p29" 84.8 50.438 76.9 -4.99 34.72 2.53 1.16 8.8 19.67 6.7 "mo" "Moyenne"
"mo2p30" 83.6 49.9 75.13 -4.85 35.3 2.4 1.04 7.14 17.49 6.29 "mo" "Moyenne"
"mo2p31" 73.8 47.637 75.75 -4.31 36.96 2.59 1.09 7.93 20.13 6.41 "mo" "Moyenne"
"mo2p32" 69.5 47.613 77.18 -2.68 36.57 2.35 0.98 8.55 15.47 6.04 "mo" "Moyenne"
"mo2p33" 83.2 51.15 76.82 -4.76 36.1 2.08 1.08 6.03 19.92 7.16 "mo" "Moyenne"
"mo2p34" 68.1 46.65 75.59 -4.31 35.55 2.02 0.97 5.98 18.72 6.71 "mo" "Moyenne"
"mo2p35" 84.3 50.575 75.33 -2.86 39.9 2.28 1 6.66 17.14 6.95 "mo" "Moyenne"
"mo2p36" 74.1 48.138 75.91 -5.56 39.57 1.88 0.98 4.51 19.45 6.72 "mo" "Moyenne"
"mo2p37" 76.2 48.025 78.57 -2.45 40.86 2.07 0.82 8.01 15.21 6.26 "mo" "Moyenne"
"mo2p38" 79.9 49.463 75.15 -0.02 44.29 2.37 1.05 5.74 18.95 7.15 "mo" "Moyenne"
"mo2p39" 70.2 46.175 76.85 -2.53 41.93 2.28 1 6.23 20.42 7.18 "mo" "Moyenne"
"mo2p40" 71 47.425 78.6 -5.13 42.28 2.07 0.9 4.83 20.33 6.03 "mo" "Moyenne"
"mo3p01" 85.2 52.413 76.86 -0.97 37.41 1.65 0.74 6.89 14.95 7.22 "mo" "Forte"
"mo3p02" 71.5 49.438 79.26 -3.1 40.91 1.63 0.73 5.85 14.4 6.88 "mo" "Forte"
"mo3p03" 86.9 51.562 79.03 -0.58 40.77 1.71 0.73 7.11 14.44 7.05 "mo" "Forte"
"mo3p04" 60.8 43.588 79.79 -1.46 36.19 1.81 0.86 7.46 15.1 6.76 "mo" "Forte"
"mo3p05" 90.2 52 80.91 -2.11 35.02 1.79 0.79 6.93 15.36 7.41 "mo" "Forte"
"mo3p06" 73.7 49.3 79.27 -2.85 42.27 1.8 0.85 6.78 16.85 7.45 "mo" "Forte"
"mo3p07" 60.3 45.8 75.21 -2.32 45.15 1.73 0.75 4.67 18.34 7.94 "mo" "Forte"
"mo3p08" 73.2 49.275 78.21 -3.23 35.88 1.94 0.82 6.71 15.63 6.83 "mo" "Forte"
"mo3p09" 83.1 51.075 74.09 1.09 41.4 1.6 0.7 7.14 15.49 7.18 "mo" "Forte"
"mo3p10" 80.2 50.787 72.11 -1.24 30.01 1.61 0.66 6.61 14.81 6.92 "mo" "Forte"
"mo3p11" 75.4 48.238 77.78 -1.97 37.86 1.89 0.81 6.35 15.89 7.48 "mo" "Forte"
"mo3p12" 72.5 49.975 79.28 -0.62 34.86 1.84 0.76 6.96 15.91 6.9 "mo" "Forte"
"mo3p13" 64.8 47.988 80.65 -1.22 42.74 1.83 0.79 6.85 16.43 6.63 "mo" "Forte"
"mo3p14" 70.9 48.337 80.58 -2.12 38.88 1.81 0.77 6.74 14.12 6.67 "mo" "Forte"
"mo3p15" 55.7 44.388 80.24 -3.39 36.34 1.86 0.91 6.29 19.09 8.06 "mo" "Forte"
"mo3p16" 66.7 46.825 78.8 -1.04 38.76 1.91 0.86 7.35 16.76 6.73 "mo" "Forte"
"mo3p17" 72.9 48.825 73.33 0.3 37.95 1.76 0.82 5.89 16.28 6.52 "mo" "Forte"
"mo3p18" 79.1 49.75 76 -0.56 37.94 1.84 0.82 6.67 13.23 7.14 "mo" "Forte"
"mo3p19" 77.4 49.625 72.2 -0.65 33.78 1.58 0.66 7.11 14.62 6.47 "mo" "Forte"
"mo3p20" 67.4 47.575 77.24 -1.13 32.14 1.65 0.72 6.47 15.97 6.63 "mo" "Forte"
"mo3p21" 72.6 47.313 69.51 2.12 33.59 1.68 0.72 7.65 14.36 6.64 "mo" "Forte"
"mo3p22" 73.4 50 78.16 0.01 44.59 1.55 0.66 5.71 16.85 6.62 "mo" "Forte"
"mo3p23" 68.6 46.863 76.89 -0.49 41.78 1.5 0.72 6.17 14.05 6.11 "mo" "Forte"
"mo3p24" 75.6 49.375 76.74 -4.41 40.06 1.71 0.82 5.79 15.55 7.24 "mo" "Forte"
"mo3p25" 76 49.737 79.29 -2.45 40.35 1.84 0.9 5.96 16.34 7.28 "mo" "Forte"
"mo3p26" 72.4 49.463 77.16 -0.37 35.87 1.45 0.69 6.89 13.02 7.02 "mo" "Forte"
"mo3p27" 67.1 47.325 79.94 -1.01 37.28 1.73 0.78 6.65 15.63 6.57 "mo" "Forte"
"mo3p28" 69.5 48.75 75.95 0.58 35.36 1.63 0.85 6.7 14.38 6.57 "mo" "Forte"
"mo3p29" 72.7 49.725 76.09 3.08 40.1 1.73 0.9 7.22 10.95 6.1 "mo" "Forte"
"mo3p30" 77.7 49.838 72.92 0 33.23 1.66 0.79 6.54 13.54 6.18 "mo" "Forte"
"mo3p31" 81.4 52.05 71.28 -3.66 27.17 1.68 0.78 5.28 14.46 6.69 "mo" "Forte"
"mo3p32" 68.7 47.125 78.11 -0.61 40.78 1.92 0.93 5.6 14.28 6.75 "mo" "Forte"
"mo3p33" 69 47 77.91 -0.37 40.36 1.55 0.81 6.51 12.33 6.04 "mo" "Forte"
"mo3p34" 64.9 47.45 79.57 -2.23 33.18 1.56 0.87 6.2 13.13 6.05 "mo" "Forte"
"mo3p35" 60.3 45.988 76.96 -3.27 36.47 1.36 0.76 5.36 15.44 6.32 "mo" "Forte"
"mo3p36" 69.7 48.4 77.49 -3.35 33.29 1.49 0.77 6.05 11.82 5.94 "mo" "Forte"
"mo3p38" 77.7 50.575 76.65 -1.42 31.43 1.51 0.78 5.92 11.72 5.82 "mo" "Forte"
"mo3p39" 69.5 46.913 81.42 -3.82 34.05 1.6 0.76 5.64 13.5 6.16 "mo" "Forte"
"mo3p40" 92.2 52.125 80.33 -1.77 37.63 1.57 0.74 5.8 15.23 6.46 "mo" "Forte"
